appid,sessionid,repeated,app,app-ctrl,apprisk,service,srcip,dstip,subtype,eventtype,url,parameters,filename
24466,77672,,Ping,,elevated,PING,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25855,77674,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,00 05 00 01
48883,77674,,Modbus_Func03.Read.Holding.Validation,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,"UnitID:0, Address:5, Address:5","UnitID=0,Ref=5-5,Data=00 01"
25855,77674,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
48883,77674,,Modbus_Func03.Read.Holding.Validation,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25855,77674,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,02 01 1a
16938,77674,,Modbus,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25855,77676,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,00 05 00 01
48883,77676,,Modbus_Func03.Read.Holding.Validation,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,"UnitID:0, Address:5, Address:5","UnitID=0,Ref=5-5,Data=00 01"
25855,77676,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
48883,77676,,Modbus_Func03.Read.Holding.Validation,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25855,77676,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,02 01 23
16938,77676,,Modbus,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25855,77680,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,00 05 00 01
48883,77680,,Modbus_Func03.Read.Holding.Validation,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,"UnitID:0, Address:5, Address:5","UnitID=0,Ref=5-5,Data=00 01"
25855,77680,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
48883,77680,,Modbus_Func03.Read.Holding.Validation,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25855,77680,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,02 01 8b
16938,77680,,Modbus,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25830,77682,,Modbus_Read.Coils,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,00 31 00 01
48881,77682,,Modbus_Func01.Read.Coils.Validation,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,"UnitID:0, Address:49, Address:49","UnitID=0,Ref=49-49,Data=00 01"
25830,77682,,Modbus_Read.Coils,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25830,77682,,Modbus_Read.Coils,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25830,77682,,Modbus_Read.Coils,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
48881,77682,,Modbus_Func01.Read.Coils.Validation,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25830,77682,,Modbus_Read.Coils,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,01 00
16938,77682,,Modbus,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25855,77684,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,00 05 00 01
48883,77684,,Modbus_Func03.Read.Holding.Validation,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,"UnitID:0, Address:5, Address:5","UnitID=0,Ref=5-5,Data=00 01"
25855,77684,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
48883,77684,,Modbus_Func03.Read.Holding.Validation,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25855,77684,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,02 01 c1
16938,77684,,Modbus,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25855,77686,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,00 05 00 01
48883,77686,,Modbus_Func03.Read.Holding.Validation,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,"UnitID:0, Address:5, Address:5","UnitID=0,Ref=5-5,Data=00 01"
25855,77686,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
48883,77686,,Modbus_Func03.Read.Holding.Validation,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25855,77686,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,02 01 b8
16938,77686,,Modbus,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25830,77688,,Modbus_Read.Coils,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,00 31 00 01
48881,77688,,Modbus_Func01.Read.Coils.Validation,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,"UnitID:0, Address:49, Address:49","UnitID=0,Ref=49-49,Data=00 01"
25830,77688,,Modbus_Read.Coils,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25830,77688,,Modbus_Read.Coils,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25830,77688,,Modbus_Read.Coils,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
48881,77688,,Modbus_Func01.Read.Coils.Validation,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25830,77688,,Modbus_Read.Coils,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,01 00
16938,77688,,Modbus,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25855,77690,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,00 05 00 01
48883,77690,,Modbus_Func03.Read.Holding.Validation,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,"UnitID:0, Address:5, Address:5","UnitID=0,Ref=5-5,Data=00 01"
25855,77690,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
48883,77690,,Modbus_Func03.Read.Holding.Validation,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25855,77690,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,02 01 ea
16938,77690,,Modbus,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25855,77692,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,00 05 00 01
48883,77692,,Modbus_Func03.Read.Holding.Validation,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,"UnitID:0, Address:5, Address:5","UnitID=0,Ref=5-5,Data=00 01"
25855,77692,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
48883,77692,,Modbus_Func03.Read.Holding.Validation,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25855,77692,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,02 01 eb
16938,77692,,Modbus,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25830,77694,,Modbus_Read.Coils,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,00 31 00 01
48881,77694,,Modbus_Func01.Read.Coils.Validation,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,"UnitID:0, Address:49, Address:49","UnitID=0,Ref=49-49,Data=00 01"
25830,77694,,Modbus_Read.Coils,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25830,77694,,Modbus_Read.Coils,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25830,77694,,Modbus_Read.Coils,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
48881,77694,,Modbus_Func01.Read.Coils.Validation,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25830,77694,,Modbus_Read.Coils,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,01 00
16938,77694,,Modbus,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25855,77696,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,00 05 00 01
48883,77696,,Modbus_Func03.Read.Holding.Validation,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,"UnitID:0, Address:5, Address:5","UnitID=0,Ref=5-5,Data=00 01"
25855,77696,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
48883,77696,,Modbus_Func03.Read.Holding.Validation,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25855,77696,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,02 02 0d
16938,77696,,Modbus,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25855,77698,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,00 05 00 01
48883,77698,,Modbus_Func03.Read.Holding.Validation,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,"UnitID:0, Address:5, Address:5","UnitID=0,Ref=5-5,Data=00 01"
25855,77698,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
48883,77698,,Modbus_Func03.Read.Holding.Validation,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25855,77698,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,02 02 13
16938,77698,,Modbus,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25830,77700,,Modbus_Read.Coils,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,00 31 00 01
48881,77700,,Modbus_Func01.Read.Coils.Validation,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,"UnitID:0, Address:49, Address:49","UnitID=0,Ref=49-49,Data=00 01"
25830,77700,,Modbus_Read.Coils,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25830,77700,,Modbus_Read.Coils,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25830,77700,,Modbus_Read.Coils,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
48881,77700,,Modbus_Func01.Read.Coils.Validation,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25830,77700,,Modbus_Read.Coils,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,01 00
16938,77700,,Modbus,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25855,77702,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,00 05 00 01
48883,77702,,Modbus_Func03.Read.Holding.Validation,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,"UnitID:0, Address:5, Address:5","UnitID=0,Ref=5-5,Data=00 01"
25855,77702,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
48883,77702,,Modbus_Func03.Read.Holding.Validation,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25855,77702,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,02 02 36
16938,77702,,Modbus,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25855,77704,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,00 05 00 01
48883,77704,,Modbus_Func03.Read.Holding.Validation,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,"UnitID:0, Address:5, Address:5","UnitID=0,Ref=5-5,Data=00 01"
25855,77704,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
48883,77704,,Modbus_Func03.Read.Holding.Validation,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25855,77704,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,02 02 39
16938,77704,,Modbus,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25830,77706,,Modbus_Read.Coils,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,00 31 00 01
48881,77706,,Modbus_Func01.Read.Coils.Validation,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,"UnitID:0, Address:49, Address:49","UnitID=0,Ref=49-49,Data=00 01"
25830,77706,,Modbus_Read.Coils,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25830,77706,,Modbus_Read.Coils,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
25830,77706,,Modbus_Read.Coils,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
48881,77706,,Modbus_Func01.Read.Coils.Validation,,elevated,MODBUS,84.3.251.101,84.3.251.18,app-ctrl,signature,,,
