sentpktdelta,parameters,time,appid,rcvdbyte,eventtype,devid,logid,service,sentpkt,direction,clouduser,proto,rcvdpktdelta,date,duration,tz,vd,dstcountry,filesize,filename,dstintf,srcintfrole,masterdstmac,action,srcip,srcintf,incidentserialno,mastersrcmac,appcat,subtype,sessionid,srcserver,poluuid,policytype,applist,msg,countapp,dstintfrole,identifier,dstport,utmaction,rcvdpkt,transip,icmptype,transport,durationdelta,icmpid,type,sentdelta,devname,app,cloudaction,srcport,rcvddelta,dstmac,level,dstip,icmpcode,eventtime,sentbyte,policyid,trandisp,srcmac,srccountry,apprisk,dstserver
,,21:50:36,25855,,signature,FGVM02TM24011031,1059028704,MODBUS,,outgoing,84.3.251.103,6,,2024-09-07,,-0700,root,Hungary,4,00 01 00 01,port7,undefined,,pass,84.3.251.103,port7,206431432,,Operational.Technology,app-ctrl,78110,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Read.Holding.Registers,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Read.Holding.Registers,others,46283,,,information,84.3.251.102,,1725771035812227485,,4,,,Hungary,elevated,
,"UnitID:0, Address:1, Address:1",21:50:36,48883,,signature,FGVM02TM24011031,1059028704,MODBUS,,outgoing,84.3.251.103,6,,2024-09-07,,-0700,root,Hungary,6,"UnitID=0,Ref=1-1,Data=00 01",port7,undefined,,pass,84.3.251.103,port7,206431433,,Operational.Technology,app-ctrl,78110,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Func03.Read.Holding.Validation,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Func03.Read.Holding.Validation,others,46283,,,information,84.3.251.102,,1725771035812433114,,4,,,Hungary,elevated,
,,21:50:36,25855,,signature,FGVM02TM24011031,1059028704,MODBUS,,outgoing,,6,,2024-09-07,,-0700,root,Hungary,,,port7,undefined,,pass,84.3.251.103,port7,206431434,,Operational.Technology,app-ctrl,78110,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Read.Holding.Registers,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Read.Holding.Registers,,46283,,,information,84.3.251.102,,1725771035812533102,,4,,,Hungary,elevated,
,,21:50:36,48883,,signature,FGVM02TM24011031,1059028704,MODBUS,,incoming,,6,,2024-09-07,,-0700,root,Hungary,,,port7,undefined,,pass,84.3.251.103,port7,206431435,,Operational.Technology,app-ctrl,78110,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Func03.Read.Holding.Validation,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Func03.Read.Holding.Validation,,46283,,,information,84.3.251.102,,1725771035812928468,,4,,,Hungary,elevated,
,,21:50:36,25855,,signature,FGVM02TM24011031,1059028704,MODBUS,,incoming,84.3.251.102,6,,2024-09-07,,-0700,root,Hungary,3,02 00 00,port7,undefined,,pass,84.3.251.103,port7,206431436,,Operational.Technology,app-ctrl,78110,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Read.Holding.Registers,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Read.Holding.Registers,others,46283,,,information,84.3.251.102,,1725771035813024346,,4,,,Hungary,elevated,
,,21:50:36,16938,,signature,FGVM02TM24011031,1059028704,MODBUS,,incoming,,6,,2024-09-07,,-0700,root,Hungary,,,port7,undefined,,pass,84.3.251.103,port7,206431437,,Operational.Technology,app-ctrl,78110,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus,,46283,,,information,84.3.251.102,,1725771035813096019,,4,,,Hungary,elevated,
,,21:50:36,24466,,signature,FGVM02TM24011031,1059028704,PING,,outgoing,,1,,2024-09-07,,-0700,root,Hungary,,,port7,undefined,,pass,84.3.251.102,port7,206431439,,Network.Service,app-ctrl,78112,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Network.Service: Ping,,undefined,,,,,,0x08,,,0x7ee7,utm,,FGDIT,Ping,,,,,information,84.3.251.103,0x00,1725771035813862382,,4,,,Hungary,elevated,
,,21:50:36,25855,,signature,FGVM02TM24011031,1059028704,MODBUS,,outgoing,84.3.251.103,6,,2024-09-07,,-0700,root,Hungary,4,00 01 00 01,port7,undefined,,pass,84.3.251.103,port7,206431446,,Operational.Technology,app-ctrl,78114,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Read.Holding.Registers,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Read.Holding.Registers,others,40091,,,information,84.3.251.102,,1725771035820660060,,4,,,Hungary,elevated,
,"UnitID:0, Address:1, Address:1",21:50:36,48883,,signature,FGVM02TM24011031,1059028704,MODBUS,,outgoing,84.3.251.103,6,,2024-09-07,,-0700,root,Hungary,6,"UnitID=0,Ref=1-1,Data=00 01",port7,undefined,,pass,84.3.251.103,port7,206431447,,Operational.Technology,app-ctrl,78114,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Func03.Read.Holding.Validation,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Func03.Read.Holding.Validation,others,40091,,,information,84.3.251.102,,1725771035820822808,,4,,,Hungary,elevated,
,,21:50:36,25855,,signature,FGVM02TM24011031,1059028704,MODBUS,,outgoing,,6,,2024-09-07,,-0700,root,Hungary,,,port7,undefined,,pass,84.3.251.103,port7,206431448,,Operational.Technology,app-ctrl,78114,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Read.Holding.Registers,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Read.Holding.Registers,,40091,,,information,84.3.251.102,,1725771035820926030,,4,,,Hungary,elevated,
,,21:50:36,48883,,signature,FGVM02TM24011031,1059028704,MODBUS,,incoming,,6,,2024-09-07,,-0700,root,Hungary,,,port7,undefined,,pass,84.3.251.103,port7,206431449,,Operational.Technology,app-ctrl,78114,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Func03.Read.Holding.Validation,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Func03.Read.Holding.Validation,,40091,,,information,84.3.251.102,,1725771035821655117,,4,,,Hungary,elevated,
,,21:50:36,25855,,signature,FGVM02TM24011031,1059028704,MODBUS,,incoming,84.3.251.102,6,,2024-09-07,,-0700,root,Hungary,3,02 00 00,port7,undefined,,pass,84.3.251.103,port7,206431450,,Operational.Technology,app-ctrl,78114,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Read.Holding.Registers,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Read.Holding.Registers,others,40091,,,information,84.3.251.102,,1725771035821784053,,4,,,Hungary,elevated,
