flowInd	%dir	timeFirst	l4Proto	tcpFlags	srcIP	dstIP	srcPort	dstPort
1	A	1618841506.646305000	6	0x0006	84.3.251.101	84.3.251.18	2732	502
1	B	1618841506.658408000	6	0x0212	84.3.251.18	84.3.251.101	502	2732
2	A	1618841506.647003000	6	0x0006	84.3.251.101	84.3.251.18	2733	502
2	B	1618841506.658707000	6	0x0212	84.3.251.18	84.3.251.101	502	2733
3	A	1618841506.647529000	6	0x0006	84.3.251.101	84.3.251.18	2734	502
3	B	1618841506.668134000	6	0x0212	84.3.251.18	84.3.251.101	502	2734
4	A	1618841506.648212000	6	0x0006	84.3.251.101	84.3.251.18	2735	502
4	B	1618841506.668402000	6	0x0212	84.3.251.18	84.3.251.101	502	2735
5	A	1618841506.648728000	6	0x0006	84.3.251.101	84.3.251.18	2736	502
5	B	1618841506.668834000	6	0x0212	84.3.251.18	84.3.251.101	502	2736
6	A	1618841506.649091000	6	0x0006	84.3.251.101	84.3.251.18	2737	502
6	B	1618841506.678136000	6	0x0212	84.3.251.18	84.3.251.101	502	2737
7	A	1618841506.649914000	6	0x0006	84.3.251.101	84.3.251.18	2738	502
7	B	1618841506.678407000	6	0x0212	84.3.251.18	84.3.251.101	502	2738
8	A	1618841506.650400000	6	0x0006	84.3.251.101	84.3.251.18	2739	502
8	B	1618841506.678827000	6	0x0212	84.3.251.18	84.3.251.101	502	2739
9	A	1618841506.650920000	6	0x0006	84.3.251.101	84.3.251.18	2740	502
9	B	1618841506.688102000	6	0x0212	84.3.251.18	84.3.251.101	502	2740
10	A	1618841506.651519000	6	0x0006	84.3.251.101	84.3.251.18	2741	502
10	B	1618841506.688472000	6	0x0212	84.3.251.18	84.3.251.101	502	2741
359	A	1618841506.865118000	6	0x0004	84.3.251.101	84.3.251.18	2732	502
405	A	1618841506.890269000	6	0x0004	84.3.251.101	84.3.251.18	2733	502
11	A	1618841506.652124000	6	0x0006	84.3.251.101	84.3.251.18	2742	502
11	B	1618841506.698194000	6	0x0212	84.3.251.18	84.3.251.101	502	2742
12	A	1618841506.658865000	6	0x0006	84.3.251.101	84.3.251.18	2743	502
12	B	1618841506.708154000	6	0x0212	84.3.251.18	84.3.251.101	502	2743
13	A	1618841506.659472000	6	0x0006	84.3.251.101	84.3.251.18	2744	502
13	B	1618841506.708603000	6	0x0212	84.3.251.18	84.3.251.101	502	2744
14	A	1618841506.660004000	6	0x0006	84.3.251.101	84.3.251.18	2745	502
14	B	1618841506.708925000	6	0x0212	84.3.251.18	84.3.251.101	502	2745
15	A	1618841506.660547000	6	0x0006	84.3.251.101	84.3.251.18	2746	502
15	B	1618841506.718104000	6	0x0212	84.3.251.18	84.3.251.101	502	2746
16	A	1618841506.661108000	6	0x0006	84.3.251.101	84.3.251.18	2747	502
16	B	1618841506.718520000	6	0x0212	84.3.251.18	84.3.251.101	502	2747
17	A	1618841506.661637000	6	0x0006	84.3.251.101	84.3.251.18	2748	502
17	B	1618841506.728120000	6	0x0212	84.3.251.18	84.3.251.101	502	2748
18	A	1618841506.662133000	6	0x0006	84.3.251.101	84.3.251.18	2749	502
18	B	1618841506.728523000	6	0x0212	84.3.251.18	84.3.251.101	502	2749
19	A	1618841506.662631000	6	0x0006	84.3.251.101	84.3.251.18	2750	502
19	B	1618841506.728842000	6	0x0212	84.3.251.18	84.3.251.101	502	2750
20	A	1618841506.663250000	6	0x0006	84.3.251.101	84.3.251.18	2751	502
20	B	1618841506.738116000	6	0x0212	84.3.251.18	84.3.251.101	502	2751
21	A	1618841506.663823000	6	0x0006	84.3.251.101	84.3.251.18	2752	502
21	B	1618841506.738608000	6	0x0212	84.3.251.18	84.3.251.101	502	2752
22	A	1618841506.664216000	6	0x0006	84.3.251.101	84.3.251.18	2753	502
22	B	1618841506.748127000	6	0x0212	84.3.251.18	84.3.251.101	502	2753
23	A	1618841506.664696000	6	0x0006	84.3.251.101	84.3.251.18	2754	502
23	B	1618841506.748542000	6	0x0212	84.3.251.18	84.3.251.101	502	2754
24	A	1618841506.665228000	6	0x0006	84.3.251.101	84.3.251.18	2755	502
24	B	1618841506.758089000	6	0x0212	84.3.251.18	84.3.251.101	502	2755
25	A	1618841506.665699000	6	0x0006	84.3.251.101	84.3.251.18	2756	502
25	B	1618841506.758531000	6	0x0212	84.3.251.18	84.3.251.101	502	2756
26	A	1618841506.666321000	6	0x0006	84.3.251.101	84.3.251.18	2757	502
26	B	1618841506.758891000	6	0x0212	84.3.251.18	84.3.251.101	502	2757
27	A	1618841506.666817000	6	0x0006	84.3.251.101	84.3.251.18	2758	502
27	B	1618841506.768162000	6	0x0212	84.3.251.18	84.3.251.101	502	2758
1425	A	1618841507.453489000	6	0x0004	84.3.251.101	84.3.251.18	2734	502
28	A	1618841506.667586000	6	0x0006	84.3.251.101	84.3.251.18	2759	502
