flowInd	%dir	timeFirst	l4Proto	tcpFlags	srcIP	dstIP	srcPort	dstPort
1	A	1617991082.538447000	6	0x011b	84.3.251.103	84.3.251.102	46283	502
1	B	1617991082.543313000	6	0x031b	84.3.251.102	84.3.251.103	502	46283
5	A	1617991083.592149000	6	0x011b	84.3.251.103	84.3.251.102	58081	502
5	B	1617991083.628137000	6	0x031b	84.3.251.102	84.3.251.103	502	58081
7	A	1617991084.745198000	6	0x011b	84.3.251.103	84.3.251.102	40091	502
7	B	1617991084.780529000	6	0x031b	84.3.251.102	84.3.251.103	502	40091
8	A	1617991085.969371000	6	0x011b	84.3.251.103	84.3.251.102	52677	502
8	B	1617991085.997671000	6	0x031b	84.3.251.102	84.3.251.103	502	52677
9	A	1617991087.103657000	6	0x011b	84.3.251.103	84.3.251.102	44039	502
9	B	1617991087.131626000	6	0x031b	84.3.251.102	84.3.251.103	502	44039
10	A	1617991088.239511000	6	0x011b	84.3.251.103	84.3.251.102	50849	502
10	B	1617991088.272629000	6	0x031b	84.3.251.102	84.3.251.103	502	50849
11	A	1617991089.363634000	6	0x011b	84.3.251.103	84.3.251.102	46189	502
11	B	1617991089.392408000	6	0x031b	84.3.251.102	84.3.251.103	502	46189
12	A	1617991090.586910000	6	0x011b	84.3.251.103	84.3.251.102	42077	502
12	B	1617991090.612754000	6	0x031b	84.3.251.102	84.3.251.103	502	42077
16	A	1617991097.729331000	6	0x0006	84.3.251.103	84.3.251.102	50689	502
16	B	1617991097.753715000	6	0x0212	84.3.251.102	84.3.251.103	502	50689
13	A	1617991092.460098000	6	0x011b	84.3.251.103	84.3.251.102	34905	502
13	B	1617991092.488442000	6	0x031b	84.3.251.102	84.3.251.103	502	34905
14	A	1617991093.592214000	6	0x011b	84.3.251.103	84.3.251.102	50405	502
14	B	1617991093.621906000	6	0x031b	84.3.251.102	84.3.251.103	502	50405
15	A	1617991094.725691000	6	0x0006	84.3.251.103	84.3.251.102	51237	502
15	B	1617991094.743738000	6	0x0212	84.3.251.102	84.3.251.103	502	51237
17	A	1617991101.831307000	6	0x011b	84.3.251.103	84.3.251.102	49017	502
17	B	1617991101.851317000	6	0x031b	84.3.251.102	84.3.251.103	502	49017
18	A	1617991102.986059000	6	0x011b	84.3.251.103	84.3.251.102	40875	502
18	B	1617991103.025054000	6	0x031b	84.3.251.102	84.3.251.103	502	40875
19	A	1617991104.117208000	6	0x011b	84.3.251.103	84.3.251.102	42121	502
