flowInd	%dir	timeFirst	l4Proto	tcpFlags	srcIP	dstIP	srcPort	dstPort
8	A	1617990930.042913000	6	0x011b	84.3.251.101	84.3.251.18	43393	502
8	B	1617990931.180252000	6	0x071f	84.3.251.18	84.3.251.101	502	43393
36	A	1617990937.550877000	6	0x011b	84.3.251.101	84.3.251.18	35293	502
36	B	1617990938.680109000	6	0x071f	84.3.251.18	84.3.251.101	502	35293
1	A	1617990929.077313000	6	0x011b	84.3.251.102	84.3.251.101	53119	502
1	B	1617990929.082017000	6	0x031b	84.3.251.101	84.3.251.102	502	53119
2	A	1617990929.235254000	6	0x011b	84.3.251.104	84.3.251.102	42419	502
2	B	1617990929.239916000	6	0x031b	84.3.251.102	84.3.251.104	502	42419
3	A	1617990929.603833000	6	0x011b	84.3.251.103	84.3.251.102	45517	502
3	B	1617990929.608841000	6	0x031b	84.3.251.102	84.3.251.103	502	45517
4	A	1617990929.750928000	6	0x011b	84.3.251.105	84.3.251.103	58827	502
4	B	1617990929.755536000	6	0x031b	84.3.251.103	84.3.251.105	502	58827
9	A	1617990930.336081000	6	0x011b	84.3.251.104	84.3.251.102	32971	502
9	B	1617990930.710470000	6	0x031b	84.3.251.102	84.3.251.104	502	32971
10	A	1617990930.542733000	6	0x011b	84.3.251.102	84.3.251.101	37893	502
10	B	1617990930.714051000	6	0x031b	84.3.251.101	84.3.251.102	502	37893
11	A	1617990930.827489000	6	0x011b	84.3.251.103	84.3.251.102	52409	502
11	B	1617990930.832387000	6	0x031b	84.3.251.102	84.3.251.103	502	52409
12	A	1617990931.098853000	6	0x011b	84.3.251.105	84.3.251.103	44633	502
12	B	1617990931.104163000	6	0x031b	84.3.251.103	84.3.251.105	502	44633
14	A	1617990931.822696000	6	0x011b	84.3.251.104	84.3.251.102	47725	502
14	B	1617990931.827284000	6	0x031b	84.3.251.102	84.3.251.104	502	47725
15	A	1617990932.109909000	6	0x011b	84.3.251.103	84.3.251.102	59211	502
15	B	1617990932.114779000	6	0x031b	84.3.251.102	84.3.251.103	502	59211
16	A	1617990932.262907000	6	0x011b	84.3.251.102	84.3.251.101	39103	502
16	B	1617990932.267678000	6	0x031b	84.3.251.101	84.3.251.102	502	39103
17	A	1617990932.315790000	6	0x011b	84.3.251.105	84.3.251.103	57877	502
17	B	1617990932.320638000	6	0x031b	84.3.251.103	84.3.251.105	502	57877
18	A	1617990932.925737000	6	0x011b	84.3.251.104	84.3.251.102	57799	502
18	B	1617990932.931608000	6	0x031b	84.3.251.102	84.3.251.104	502	57799
19	A	1617990933.359370000	6	0x011b	84.3.251.103	84.3.251.102	36507	502
19	B	1617990933.364770000	6	0x031b	84.3.251.102	84.3.251.103	502	36507
20	A	1617990933.443427000	6	0x011b	84.3.251.105	84.3.251.103	59673	502
20	B	1617990933.448511000	6	0x031b	84.3.251.103	84.3.251.105	502	59673
21	A	1617990933.723701000	6	0x011b	84.3.251.102	84.3.251.101	39805	502
21	B	1617990933.728306000	6	0x031b	84.3.251.101	84.3.251.102	502	39805
22	A	1617990934.025610000	6	0x011b	84.3.251.104	84.3.251.102	55675	502
22	B	1617990934.030489000	6	0x031b	84.3.251.102	84.3.251.104	502	55675
55	A	1617990942.995752000	6	0x011b	84.3.251.101	84.3.251.18	52865	502
55	B	1617990944.110137000	6	0x071f	84.3.251.18	84.3.251.101	502	52865
24	A	1617990934.552303000	6	0x011b	84.3.251.105	84.3.251.103	39331	502
24	B	1617990934.557143000	6	0x031b	84.3.251.103	84.3.251.105	502	39331
25	A	1617990934.738642000	6	0x011b	84.3.251.103	84.3.251.102	50633	502
25	B	1617990934.743093000	6	0x031b	84.3.251.102	84.3.251.103	502	50633
26	A	1617990935.143361000	6	0x011b	84.3.251.104	84.3.251.102	36235	502
26	B	1617990935.148110000	6	0x031b	84.3.251.102	84.3.251.104	502	36235
27	A	1617990935.204818000	6	0x011b	84.3.251.102	84.3.251.101	43245	502
27	B	1617990935.209926000	6	0x031b	84.3.251.101	84.3.251.102	502	43245
28	A	1617990935.658303000	6	0x011b	84.3.251.105	84.3.251.103	37749	502
28	B	1617990935.664139000	6	0x031b	84.3.251.103	84.3.251.105	502	37749
31	A	1617990936.014503000	6	0x011b	84.3.251.103	84.3.251.102	34975	502
31	B	1617990936.019368000	6	0x031b	84.3.251.102	84.3.251.103	502	34975
32	A	1617990936.242746000	6	0x011b	84.3.251.104	84.3.251.102	42089	502
32	B	1617990936.247863000	6	0x031b	84.3.251.102	84.3.251.104	502	42089
33	A	1617990936.666990000	6	0x011b	84.3.251.102	84.3.251.101	50917	502
33	B	1617990936.672242000	6	0x031b	84.3.251.101	84.3.251.102	502	50917
34	A	1617990936.779209000	6	0x011b	84.3.251.105	84.3.251.103	34911	502
34	B	1617990936.783716000	6	0x031b	84.3.251.103	84.3.251.105	502	34911
35	A	1617990937.227566000	6	0x011b	84.3.251.103	84.3.251.102	36533	502
35	B	1617990937.232588000	6	0x031b	84.3.251.102	84.3.251.103	502	36533
37	A	1617990937.576970000	6	0x011b	84.3.251.104	84.3.251.102	40359	502
37	B	1617990937.581930000	6	0x031b	84.3.251.102	84.3.251.104	502	40359
38	A	1617990937.894003000	6	0x011b	84.3.251.105	84.3.251.103	32925	502
38	B	1617990937.898469000	6	0x031b	84.3.251.103	84.3.251.105	502	32925
39	A	1617990938.160299000	6	0x011b	84.3.251.102	84.3.251.101	46769	502
39	B	1617990938.165045000	6	0x031b	84.3.251.101	84.3.251.102	502	46769
40	A	1617990938.625067000	6	0x011b	84.3.251.103	84.3.251.102	45125	502
40	B	1617990938.630101000	6	0x031b	84.3.251.102	84.3.251.103	502	45125
70	A	1617990947.287164000	6	0x011b	84.3.251.101	84.3.251.18	40029	502
70	B	1617990948.379943000	6	0x071f	84.3.251.18	84.3.251.101	502	40029
41	A	1617990938.780354000	6	0x011b	84.3.251.104	84.3.251.102	40977	502
41	B	1617990938.785465000	6	0x031b	84.3.251.102	84.3.251.104	502	40977
42	A	1617990938.995474000	6	0x011b	84.3.251.105	84.3.251.103	45295	502
42	B	1617990939.000144000	6	0x031b	84.3.251.103	84.3.251.105	502	45295
44	A	1617990939.621642000	6	0x011b	84.3.251.102	84.3.251.101	49617	502
44	B	1617990939.626706000	6	0x031b	84.3.251.101	84.3.251.102	502	49617
45	A	1617990939.834593000	6	0x011b	84.3.251.103	84.3.251.102	43137	502
45	B	1617990939.839192000	6	0x031b	84.3.251.102	84.3.251.103	502	43137
47	A	1617990940.063821000	6	0x011b	84.3.251.104	84.3.251.102	57501	502
47	B	1617990940.068469000	6	0x031b	84.3.251.102	84.3.251.104	502	57501
48	A	1617990940.103441000	6	0x011b	84.3.251.105	84.3.251.103	51525	502
48	B	1617990940.108028000	6	0x031b	84.3.251.103	84.3.251.105	502	51525
49	A	1617990941.142772000	6	0x011b	84.3.251.102	84.3.251.101	41475	502
49	B	1617990941.147238000	6	0x031b	84.3.251.101	84.3.251.102	502	41475
50	A	1617990941.209695000	6	0x011b	84.3.251.103	84.3.251.102	56895	502
50	B	1617990941.214469000	6	0x031b	84.3.251.102	84.3.251.103	502	56895
51	A	1617990941.350898000	6	0x011b	84.3.251.105	84.3.251.103	44671	502
51	B	1617990941.355169000	6	0x031b	84.3.251.103	84.3.251.105	502	44671
52	A	1617990941.364836000	6	0x011b	84.3.251.104	84.3.251.102	54293	502
52	B	1617990941.369644000	6	0x031b	84.3.251.102	84.3.251.104	502	54293
53	A	1617990942.436991000	6	0x011b	84.3.251.103	84.3.251.102	39015	502
53	B	1617990942.441841000	6	0x031b	84.3.251.102	84.3.251.103	502	39015
54	A	1617990942.687637000	6	0x011b	84.3.251.102	84.3.251.101	39533	502
54	B	1617990942.692249000	6	0x031b	84.3.251.101	84.3.251.102	502	39533
56	A	1617990943.180792000	6	0x011b	84.3.251.105	84.3.251.103	44587	502
56	B	1617990943.185391000	6	0x031b	84.3.251.103	84.3.251.105	502	44587
57	A	1617990943.207215000	6	0x011b	84.3.251.104	84.3.251.102	45537	502
57	B	1617990943.211597000	6	0x031b	84.3.251.102	84.3.251.104	502	45537
58	A	1617990944.249532000	6	0x011b	84.3.251.103	84.3.251.102	52411	502
58	B	1617990944.254136000	6	0x031b	84.3.251.102	84.3.251.103	502	52411
60	A	1617990944.363755000	6	0x011b	84.3.251.105	84.3.251.103	35275	502
60	B	1617990944.368542000	6	0x031b	84.3.251.103	84.3.251.105	502	35275
61	A	1617990944.439265000	6	0x011b	84.3.251.104	84.3.251.102	55629	502
61	B	1617990944.444826000	6	0x031b	84.3.251.102	84.3.251.104	502	55629
62	A	1617990944.632747000	6	0x011b	84.3.251.102	84.3.251.101	47767	502
62	B	1617990944.637258000	6	0x031b	84.3.251.101	84.3.251.102	502	47767
63	A	1617990945.507534000	6	0x011b	84.3.251.103	84.3.251.102	36761	502
63	B	1617990945.511945000	6	0x031b	84.3.251.102	84.3.251.103	502	36761
64	A	1617990945.724691000	6	0x011b	84.3.251.104	84.3.251.102	39051	502
64	B	1617990945.729487000	6	0x031b	84.3.251.102	84.3.251.104	502	39051
65	A	1617990945.797832000	6	0x011b	84.3.251.105	84.3.251.103	59931	502
65	B	1617990945.802811000	6	0x031b	84.3.251.103	84.3.251.105	502	59931
66	A	1617990946.144426000	6	0x011b	84.3.251.102	84.3.251.101	58089	502
66	B	1617990946.148901000	6	0x031b	84.3.251.101	84.3.251.102	502	58089
67	A	1617990946.749021000	6	0x011b	84.3.251.103	84.3.251.102	45941	502
67	B	1617990946.754655000	6	0x031b	84.3.251.102	84.3.251.103	502	45941
103	A	1617990956.854526000	6	0x011b	84.3.251.104	84.3.251.102	33337	502
103	B	1617990956.862554000	6	0x031f	84.3.251.102	84.3.251.104	502	33337
68	A	1617990946.994022000	6	0x011b	84.3.251.105	84.3.251.103	38383	502
68	B	1617990946.998503000	6	0x031b	84.3.251.103	84.3.251.105	502	38383
69	A	1617990947.007169000	6	0x011b	84.3.251.104	84.3.251.102	41787	502
69	B	1617990947.011850000	6	0x031b	84.3.251.102	84.3.251.104	502	41787
71	A	1617990947.610869000	6	0x011b	84.3.251.102	84.3.251.101	54935	502
71	B	1617990947.616608000	6	0x031b	84.3.251.101	84.3.251.102	502	54935
72	A	1617990948.022814000	6	0x011b	84.3.251.103	84.3.251.102	35477	502
72	B	1617990948.027565000	6	0x031b	84.3.251.102	84.3.251.103	502	35477
73	A	1617990948.240629000	6	0x011b	84.3.251.104	84.3.251.102	34413	502
73	B	1617990948.245183000	6	0x031b	84.3.251.102	84.3.251.104	502	34413
74	A	1617990948.249801000	6	0x011b	84.3.251.105	84.3.251.103	45487	502
74	B	1617990948.254213000	6	0x031b	84.3.251.103	84.3.251.105	502	45487
76	A	1617990949.198933000	6	0x011b	84.3.251.102	84.3.251.101	44329	502
76	B	1617990949.203380000	6	0x031b	84.3.251.101	84.3.251.102	502	44329
77	A	1617990949.345644000	6	0x011b	84.3.251.103	84.3.251.102	40971	502
77	B	1617990949.350522000	6	0x031b	84.3.251.102	84.3.251.103	502	40971
78	A	1617990949.520048000	6	0x011b	84.3.251.104	84.3.251.102	57145	502
78	B	1617990949.524870000	6	0x031b	84.3.251.102	84.3.251.104	502	57145
79	A	1617990949.534157000	6	0x011b	84.3.251.105	84.3.251.103	35913	502
79	B	1617990949.539005000	6	0x031b	84.3.251.103	84.3.251.105	502	35913
80	A	1617990950.648386000	6	0x011b	84.3.251.103	84.3.251.102	37999	502
80	B	1617990950.653341000	6	0x031b	84.3.251.102	84.3.251.103	502	37999
81	A	1617990950.763728000	6	0x011b	84.3.251.102	84.3.251.101	43007	502
81	B	1617990950.768933000	6	0x031b	84.3.251.101	84.3.251.102	502	43007
82	A	1617990950.768931000	6	0x011b	84.3.251.105	84.3.251.103	38847	502
82	B	1617990950.772985000	6	0x031b	84.3.251.103	84.3.251.105	502	38847
83	A	1617990950.806087000	6	0x011b	84.3.251.104	84.3.251.102	50721	502
83	B	1617990950.811479000	6	0x031b	84.3.251.102	84.3.251.104	502	50721
85	A	1617990951.852426000	6	0x011b	84.3.251.103	84.3.251.102	44601	502
85	B	1617990951.857096000	6	0x031b	84.3.251.102	84.3.251.103	502	44601
86	A	1617990951.880427000	6	0x011b	84.3.251.105	84.3.251.103	59573	502
86	B	1617990951.884651000	6	0x031b	84.3.251.103	84.3.251.105	502	59573
87	A	1617990952.044645000	6	0x011b	84.3.251.104	84.3.251.102	34887	502
87	B	1617990952.050078000	6	0x031b	84.3.251.102	84.3.251.104	502	34887
88	A	1617990952.231808000	6	0x011b	84.3.251.102	84.3.251.101	58439	502
88	B	1617990952.236290000	6	0x031b	84.3.251.101	84.3.251.102	502	58439
89	A	1617990952.988273000	6	0x011b	84.3.251.105	84.3.251.103	35911	502
89	B	1617990952.993467000	6	0x031b	84.3.251.103	84.3.251.105	502	35911
90	A	1617990953.087506000	6	0x011b	84.3.251.103	84.3.251.102	56065	502
90	B	1617990953.092265000	6	0x031b	84.3.251.102	84.3.251.103	502	56065
91	A	1617990953.485838000	6	0x011b	84.3.251.104	84.3.251.102	41143	502
91	B	1617990953.490964000	6	0x031b	84.3.251.102	84.3.251.104	502	41143
92	A	1617990953.695509000	6	0x011b	84.3.251.102	84.3.251.101	59865	502
92	B	1617990953.918235000	6	0x031b	84.3.251.101	84.3.251.102	502	59865
