flowInd	%dir	timeFirst	l4Proto	tcpFlags	srcIP	dstIP	srcPort	dstPort
8	A	1617986052.112864000	6	0x011b	84.3.251.101	84.3.251.18	38703	502
8	B	1617986052.165791000	6	0x071f	84.3.251.18	84.3.251.101	502	38703
10	A	1617986052.330212000	6	0x011b	84.3.251.101	84.3.251.18	41007	502
10	B	1617986052.365530000	6	0x071f	84.3.251.18	84.3.251.101	502	41007
13	A	1617986052.771245000	6	0x011b	84.3.251.101	84.3.251.18	56123	502
13	B	1617986052.805569000	6	0x071f	84.3.251.18	84.3.251.101	502	56123
4	A	1617986051.168335000	6	0x011b	84.3.251.103	84.3.251.102	58135	502
4	B	1617986051.172801000	6	0x031b	84.3.251.102	84.3.251.103	502	58135
5	A	1617986051.236408000	6	0x011b	84.3.251.102	84.3.251.101	37769	502
5	B	1617986051.241196000	6	0x031b	84.3.251.101	84.3.251.102	502	37769
28	A	1617986057.064275000	6	0x0006	84.3.251.101	84.3.251.18	49733	502
28	B	1617986057.095501000	6	0x0212	84.3.251.18	84.3.251.101	502	49733
39	A	1617986060.159979000	6	0x011b	84.3.251.101	84.3.251.18	59549	502
39	B	1617986060.335423000	6	0x071f	84.3.251.18	84.3.251.101	502	59549
6	A	1617986051.471369000	6	0x011b	84.3.251.104	84.3.251.102	41609	502
6	B	1617986051.475889000	6	0x031b	84.3.251.102	84.3.251.104	502	41609
7	A	1617986051.684828000	6	0x011b	84.3.251.105	84.3.251.103	50375	502
7	B	1617986051.689410000	6	0x031b	84.3.251.103	84.3.251.105	502	50375
44	A	1617986061.317545000	6	0x011b	84.3.251.101	84.3.251.18	50891	502
44	B	1617986061.345347000	6	0x071f	84.3.251.18	84.3.251.101	502	50891
11	A	1617986052.492850000	6	0x011b	84.3.251.103	84.3.251.102	40691	502
11	B	1617986052.497390000	6	0x031b	84.3.251.102	84.3.251.103	502	40691
12	A	1617986052.749001000	6	0x011b	84.3.251.104	84.3.251.102	33409	502
12	B	1617986052.753520000	6	0x031b	84.3.251.102	84.3.251.104	502	33409
14	A	1617986052.793518000	6	0x011b	84.3.251.105	84.3.251.103	42699	502
14	B	1617986052.801809000	6	0x031b	84.3.251.103	84.3.251.105	502	42699
15	A	1617986052.809774000	6	0x011b	84.3.251.102	84.3.251.101	40853	502
15	B	1617986052.814526000	6	0x031b	84.3.251.101	84.3.251.102	502	40853
49	A	1617986062.576511000	6	0x011b	84.3.251.101	84.3.251.18	54007	502
49	B	1617986062.735480000	6	0x071f	84.3.251.18	84.3.251.101	502	54007
16	A	1617986053.768102000	6	0x011b	84.3.251.103	84.3.251.102	34905	502
16	B	1617986053.773044000	6	0x031b	84.3.251.102	84.3.251.103	502	34905
