flowInd	%dir	timeFirst	l4Proto	tcpFlags	srcIP	dstIP	srcPort	dstPort
4	A	1617986632.553213000	6	0x011b	84.3.251.103	84.3.251.102	50759	502
4	B	1617986632.572132000	6	0x031b	84.3.251.102	84.3.251.103	502	50759
9	A	1617986639.471929000	6	0x0006	84.3.251.103	84.3.251.102	34075	502
9	B	1617986639.495843000	6	0x0212	84.3.251.102	84.3.251.103	502	34075
8	A	1617986636.469116000	6	0x0006	84.3.251.103	84.3.251.102	42289	502
8	B	1617986636.481676000	6	0x0212	84.3.251.102	84.3.251.103	502	42289
6	A	1617986633.667823000	6	0x011b	84.3.251.103	84.3.251.102	60267	502
6	B	1617986633.688299000	6	0x031b	84.3.251.102	84.3.251.103	502	60267
7	A	1617986635.310603000	6	0x011b	84.3.251.103	84.3.251.102	46925	502
7	B	1617986635.336184000	6	0x031b	84.3.251.102	84.3.251.103	502	46925
10	A	1617986643.655297000	6	0x011b	84.3.251.103	84.3.251.102	46045	502
10	B	1617986643.685601000	6	0x031b	84.3.251.102	84.3.251.103	502	46045
11	A	1617986644.800737000	6	0x011b	84.3.251.103	84.3.251.102	36339	502
11	B	1617986644.819190000	6	0x031b	84.3.251.102	84.3.251.103	502	36339
12	A	1617986645.922077000	6	0x011b	84.3.251.103	84.3.251.102	32923	502
12	B	1617986645.963678000	6	0x031b	84.3.251.102	84.3.251.103	502	32923
13	A	1617986647.164682000	6	0x011b	84.3.251.103	84.3.251.102	38119	502
13	B	1617986647.181423000	6	0x031b	84.3.251.102	84.3.251.103	502	38119
14	A	1617986648.324766000	6	0x011b	84.3.251.103	84.3.251.102	40973	502
14	B	1617986648.349369000	6	0x031b	84.3.251.102	84.3.251.103	502	40973
15	A	1617986649.433295000	6	0x011b	84.3.251.103	84.3.251.102	33043	502
15	B	1617986649.452470000	6	0x031b	84.3.251.102	84.3.251.103	502	33043
16	A	1617986650.544297000	6	0x011b	84.3.251.103	84.3.251.102	58201	502
16	B	1617986650.580786000	6	0x031b	84.3.251.102	84.3.251.103	502	58201
17	A	1617986651.688132000	6	0x011b	84.3.251.103	84.3.251.102	55849	502
17	B	1617986651.713858000	6	0x031b	84.3.251.102	84.3.251.103	502	55849
18	A	1617986652.849002000	6	0x011b	84.3.251.103	84.3.251.102	51017	502
18	B	1617986652.887082000	6	0x031b	84.3.251.102	84.3.251.103	502	51017
19	A	1617986653.993054000	6	0x011b	84.3.251.103	84.3.251.102	36389	502
19	B	1617986654.024244000	6	0x031b	84.3.251.102	84.3.251.103	502	36389
20	A	1617986655.140634000	6	0x011b	84.3.251.103	84.3.251.102	40057	502
20	B	1617986655.176463000	6	0x031b	84.3.251.102	84.3.251.103	502	40057
21	A	1617986656.518564000	6	0x011b	84.3.251.103	84.3.251.102	48157	502
21	B	1617986656.547474000	6	0x031b	84.3.251.102	84.3.251.103	502	48157
22	A	1617986657.673379000	6	0x011b	84.3.251.103	84.3.251.102	38951	502
22	B	1617986657.706516000	6	0x031b	84.3.251.102	84.3.251.103	502	38951
23	A	1617986658.834988000	6	0x011b	84.3.251.103	84.3.251.102	48515	502
23	B	1617986658.854519000	6	0x031b	84.3.251.102	84.3.251.103	502	48515
24	A	1617986659.986979000	6	0x011b	84.3.251.103	84.3.251.102	41951	502
24	B	1617986660.005567000	6	0x031b	84.3.251.102	84.3.251.103	502	41951
25	A	1617986661.202018000	6	0x011b	84.3.251.103	84.3.251.102	48935	502
25	B	1617986661.223668000	6	0x031b	84.3.251.102	84.3.251.103	502	48935
26	A	1617986662.391277000	6	0x011b	84.3.251.103	84.3.251.102	33271	502
26	B	1617986662.407868000	6	0x031b	84.3.251.102	84.3.251.103	502	33271
27	A	1617986663.554239000	6	0x011b	84.3.251.103	84.3.251.102	34605	502
27	B	1617986663.571135000	6	0x031b	84.3.251.102	84.3.251.103	502	34605
28	A	1617986664.655206000	6	0x011b	84.3.251.103	84.3.251.102	35809	502
28	B	1617986664.676146000	6	0x031b	84.3.251.102	84.3.251.103	502	35809
29	A	1617986665.796100000	6	0x011b	84.3.251.103	84.3.251.102	60443	502
29	B	1617986665.818806000	6	0x031b	84.3.251.102	84.3.251.103	502	60443
30	A	1617986667.071481000	6	0x011b	84.3.251.103	84.3.251.102	56041	502
30	B	1617986667.089255000	6	0x031b	84.3.251.102	84.3.251.103	502	56041
31	A	1617986668.195350000	6	0x011b	84.3.251.103	84.3.251.102	37559	502
31	B	1617986668.209612000	6	0x031b	84.3.251.102	84.3.251.103	502	37559
32	A	1617986669.291930000	6	0x011b	84.3.251.103	84.3.251.102	59259	502
32	B	1617986669.309586000	6	0x031b	84.3.251.102	84.3.251.103	502	59259
33	A	1617986670.427068000	6	0x011b	84.3.251.103	84.3.251.102	52853	502
33	B	1617986670.467504000	6	0x031b	84.3.251.102	84.3.251.103	502	52853
34	A	1617986671.601616000	6	0x011b	84.3.251.103	84.3.251.102	50035	502
34	B	1617986671.633548000	6	0x031b	84.3.251.102	84.3.251.103	502	50035
35	A	1617986672.917909000	6	0x011b	84.3.251.103	84.3.251.102	47709	502
35	B	1617986672.938794000	6	0x031b	84.3.251.102	84.3.251.103	502	47709
36	A	1617986674.040986000	6	0x011b	84.3.251.103	84.3.251.102	59869	502
36	B	1617986674.080181000	6	0x031b	84.3.251.102	84.3.251.103	502	59869
37	A	1617986675.188750000	6	0x011b	84.3.251.103	84.3.251.102	39131	502
37	B	1617986675.214719000	6	0x031b	84.3.251.102	84.3.251.103	502	39131
38	A	1617986676.370394000	6	0x011b	84.3.251.103	84.3.251.102	54047	502
38	B	1617986676.402560000	6	0x031b	84.3.251.102	84.3.251.103	502	54047
39	A	1617986677.543217000	6	0x011b	84.3.251.103	84.3.251.102	36489	502
