flowInd	%dir	timeFirst	l4Proto	tcpFlags	srcIP	dstIP	srcPort	dstPort
1	A	1618841079.132989000	6	0x011b	84.3.251.104	84.3.251.102	44163	502
1	B	1618841079.137575000	6	0x031f	84.3.251.102	84.3.251.104	502	44163
6	A	1618841079.824785000	6	0x011b	84.3.251.101	84.3.251.18	34973	502
6	B	1618841079.833911000	6	0x071f	84.3.251.18	84.3.251.101	502	34973
2	A	1618841079.135548000	6	0x011b	84.3.251.105	84.3.251.103	54435	502
2	B	1618841079.141363000	6	0x031b	84.3.251.103	84.3.251.105	502	54435
3	A	1618841079.383191000	6	0x011b	84.3.251.103	84.3.251.102	43055	502
3	B	1618841079.388104000	6	0x031b	84.3.251.102	84.3.251.103	502	43055
4	A	1618841079.494455000	6	0x0001	84.3.251.110	84.3.251.103	34969	502
5	A	1618841079.598324000	6	0x0001	84.3.251.110	84.3.251.103	34970	502
7	A	1618841079.934555000	6	0x011b	84.3.251.101	84.3.251.18	44353	502
7	B	1618841079.943872000	6	0x071f	84.3.251.18	84.3.251.101	502	44353
