flowInd	%dir	timeFirst	l4Proto	tcpFlags	srcIP	dstIP	srcPort	dstPort
5	A	1618840276.826252000	6	0x011b	84.3.251.101	84.3.251.18	59087	502
5	B	1618840276.834264000	6	0x071f	84.3.251.18	84.3.251.101	502	59087
1	A	1618840276.114153000	6	0x011b	84.3.251.103	84.3.251.102	55037	502
1	B	1618840276.119845000	6	0x031b	84.3.251.102	84.3.251.103	502	55037
2	A	1618840276.349144000	6	0x011b	84.3.251.105	84.3.251.103	39257	502
2	B	1618840276.353701000	6	0x031b	84.3.251.103	84.3.251.105	502	39257
3	A	1618840276.361918000	6	0x011b	84.3.251.104	84.3.251.102	51659	502
3	B	1618840276.366491000	6	0x031b	84.3.251.102	84.3.251.104	502	51659
4	A	1618840276.742153000	6	0x8029	84.3.251.110	84.3.251.102	37207	502
6	A	1618840276.847931000	6	0x8029	84.3.251.110	84.3.251.102	37208	502
7	A	1618840276.937110000	6	0x011b	84.3.251.101	84.3.251.18	42251	502
7	B	1618840276.944195000	6	0x071f	84.3.251.18	84.3.251.101	502	42251
