flowInd	%dir	timeFirst	l4Proto	tcpFlags	srcIP	dstIP	srcPort	dstPort
1	A	1618840720.001305000	6	0x0006	84.3.251.110	84.3.251.18	59945	502
1	B	1618840720.018363000	6	0x0212	84.3.251.18	84.3.251.110	502	59945
4	A	1618840720.389231000	6	0x011b	84.3.251.101	84.3.251.18	57839	502
4	B	1618840720.398533000	6	0x071f	84.3.251.18	84.3.251.101	502	57839
6	A	1618840720.507059000	6	0x011b	84.3.251.101	84.3.251.18	55883	502
6	B	1618840720.518488000	6	0x071f	84.3.251.18	84.3.251.101	502	55883
7	A	1618840720.620310000	6	0x011b	84.3.251.101	84.3.251.18	44617	502
7	B	1618840720.628483000	6	0x071f	84.3.251.18	84.3.251.101	502	44617
2	A	1618840720.244357000	6	0x011b	84.3.251.103	84.3.251.102	44037	502
2	B	1618840720.249038000	6	0x031b	84.3.251.102	84.3.251.103	502	44037
3	A	1618840720.381381000	6	0x011b	84.3.251.104	84.3.251.102	54629	502
3	B	1618840720.386151000	6	0x031b	84.3.251.102	84.3.251.104	502	54629
5	A	1618840720.415192000	6	0x011b	84.3.251.105	84.3.251.103	53311	502
5	B	1618840720.420118000	6	0x031b	84.3.251.103	84.3.251.105	502	53311
8	A	1618840720.843849000	6	0x011b	84.3.251.102	84.3.251.101	47651	502
8	B	1618840720.848347000	6	0x031b	84.3.251.101	84.3.251.102	502	47651
