flowInd	%dir	timeFirst	l4Proto	tcpFlags	srcIP	dstIP	srcPort	dstPort
1	A	1618839670.002049000	6	0x011b	84.3.251.101	84.3.251.18	52073	502
1	B	1618839670.011831000	6	0x071f	84.3.251.18	84.3.251.101	502	52073
2	A	1618839670.113427000	6	0x011b	84.3.251.101	84.3.251.18	47311	502
2	B	1618839670.121828000	6	0x071f	84.3.251.18	84.3.251.101	502	47311
3	A	1618839670.224733000	6	0x011b	84.3.251.101	84.3.251.18	36159	502
3	B	1618839670.231876000	6	0x071f	84.3.251.18	84.3.251.101	502	36159
4	A	1618839670.308273000	6	0x011b	84.3.251.105	84.3.251.103	45355	502
4	B	1618839670.312758000	6	0x031b	84.3.251.103	84.3.251.105	502	45355
5	A	1618839670.450944000	0	0x0000	-	-	0	0
6	A	1618839670.456436000	0	0x0000	-	-	0	0
7	A	1618839670.458471000	6	0x8029	84.3.251.110	84.3.251.102	41212	502
8	A	1618839670.476941000	6	0x011b	84.3.251.102	84.3.251.101	50397	502
8	B	1618839670.481293000	6	0x031b	84.3.251.101	84.3.251.102	502	50397
9	A	1618839670.556550000	6	0x8029	84.3.251.110	84.3.251.102	41213	502
10	A	1618839670.796075000	6	0x011b	84.3.251.103	84.3.251.102	42375	502
10	B	1618839670.800981000	6	0x031b	84.3.251.102	84.3.251.103	502	42375
11	A	1618839670.883541000	6	0x011b	84.3.251.104	84.3.251.102	33895	502
11	B	1618839670.888205000	6	0x031b	84.3.251.102	84.3.251.104	502	33895
