flowInd	%dir	timeFirst	l4Proto	tcpFlags	srcIP	dstIP	srcPort	dstPort
8	A	1617960653.690602000	6	0x011b	84.3.251.101	84.3.251.18	37867	502
8	B	1617960653.703606000	6	0x071f	84.3.251.18	84.3.251.101	502	37867
10	A	1617960653.812196000	6	0x011b	84.3.251.101	84.3.251.18	46691	502
10	B	1617960653.823542000	6	0x071f	84.3.251.18	84.3.251.101	502	46691
11	A	1617960653.932542000	6	0x011b	84.3.251.101	84.3.251.18	56737	502
11	B	1617960653.943715000	6	0x071f	84.3.251.18	84.3.251.101	502	56737
14	A	1617960654.047669000	6	0x011b	84.3.251.101	84.3.251.18	59897	502
14	B	1617960654.053689000	6	0x071f	84.3.251.18	84.3.251.101	502	59897
16	A	1617960654.759050000	6	0x011b	84.3.251.103	84.3.251.102	36925	502
16	B	1617960654.763679000	6	0x031f	84.3.251.102	84.3.251.103	502	36925
19	A	1617960655.248722000	6	0x011b	84.3.251.101	84.3.251.18	53511	502
19	B	1617960655.263618000	6	0x071f	84.3.251.18	84.3.251.101	502	53511
20	A	1617960655.382335000	6	0x011b	84.3.251.101	84.3.251.18	38055	502
20	B	1617960655.393622000	6	0x071f	84.3.251.18	84.3.251.101	502	38055
21	A	1617960655.499490000	6	0x011b	84.3.251.101	84.3.251.18	48067	502
21	B	1617960655.513820000	6	0x071f	84.3.251.18	84.3.251.101	502	48067
22	A	1617960655.616961000	6	0x011b	84.3.251.101	84.3.251.18	34677	502
22	B	1617960655.623780000	6	0x071f	84.3.251.18	84.3.251.101	502	34677
27	A	1617960656.818882000	6	0x011b	84.3.251.101	84.3.251.18	55827	502
27	B	1617960656.833567000	6	0x071f	84.3.251.18	84.3.251.101	502	55827
29	A	1617960656.936448000	6	0x011b	84.3.251.101	84.3.251.18	50523	502
29	B	1617960656.943561000	6	0x071f	84.3.251.18	84.3.251.101	502	50523
30	A	1617960657.044988000	6	0x011b	84.3.251.101	84.3.251.18	50085	502
30	B	1617960657.053729000	6	0x071f	84.3.251.18	84.3.251.101	502	50085
31	A	1617960657.153868000	6	0x011b	84.3.251.101	84.3.251.18	33829	502
31	B	1617960657.163753000	6	0x071f	84.3.251.18	84.3.251.101	502	33829
