date,time,devname,devid,srcip,dstip,severity,attack,msg,attackid,app,appid,sessionid,repeated,app-ctrl,service,type,subtype,eventtype,url
2024-09-07,21:10:48,FGDIT,FGVM02TM24011031,192.168.1.190,192.168.0.142,,,Network.Service: NetBIOS.Name.Service,,NetBIOS.Name.Service,17017,61368,,,udp/137,utm,app-ctrl,signature,
2024-09-07,21:10:48,FGDIT,FGVM02TM24011031,192.168.56.1,192.168.0.142,,,Network.Service: NetBIOS.Name.Service,,NetBIOS.Name.Service,17017,61370,,,udp/137,utm,app-ctrl,signature,
2024-09-07,21:10:48,FGDIT,FGVM02TM24011031,192.168.174.1,192.168.0.142,,,Network.Service: NetBIOS.Name.Service,,NetBIOS.Name.Service,17017,61372,,,udp/137,utm,app-ctrl,signature,
2024-09-07,21:10:48,FGDIT,FGVM02TM24011031,192.168.232.1,192.168.0.142,,,Network.Service: NetBIOS.Name.Service,,NetBIOS.Name.Service,17017,61374,,,udp/137,utm,app-ctrl,signature,
2024-09-07,21:10:49,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.0.64,,,Operational.Technology: EtherNet.IP_Register.Session,,EtherNet.IP_Register.Session,45418,61367,,,tcp/44818,utm,app-ctrl,signature,
2024-09-07,21:10:49,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.1.190,,,Network.Service: ICMP,,ICMP,16206,61369,,,icmp/3/3,utm,app-ctrl,signature,
2024-09-07,21:10:49,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.0.64,,,Operational.Technology: CIP_CM.Forward.Open,,CIP_CM.Forward.Open,44194,61367,,,tcp/44818,utm,app-ctrl,signature,
2024-09-07,21:10:49,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.0.64,,,Operational.Technology: CIP_Response.Success,,CIP_Response.Success,45361,61367,,,tcp/44818,utm,app-ctrl,signature,
2024-09-07,21:10:49,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.0.64,,,Operational.Technology: PCCC_Protected.Typed.Logical.Read.With.Three.Address.Fields,,PCCC_Protected.Typed.Logical.Read.With.Three.Address.Fields,53036,61367,,,tcp/44818,utm,app-ctrl,signature,
2024-09-07,21:10:49,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.56.1,,,Network.Service: ICMP,,ICMP,16206,61371,,,icmp/3/3,utm,app-ctrl,signature,
2024-09-07,21:10:49,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.174.1,,,Network.Service: ICMP,,ICMP,16206,61373,,,icmp/3/3,utm,app-ctrl,signature,
2024-09-07,21:10:49,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.232.1,,,Network.Service: ICMP,,ICMP,16206,61375,,,icmp/3/3,utm,app-ctrl,signature,
2024-09-07,21:10:49,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.0.64,,,,,PCCC_Protected.Typed.Logical.Read.With.Three.Address.Fields,53036,61367,,,tcp/44818,traffic,sniffer,,
2024-09-07,21:11:08,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.1.190,,,,,ICMP,16206,61369,,,icmp/3/3,traffic,sniffer,,
2024-09-07,21:11:08,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.232.1,,,,,ICMP,16206,61375,,,icmp/3/3,traffic,sniffer,,
2024-09-07,21:11:08,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.174.1,,,,,ICMP,16206,61373,,,icmp/3/3,traffic,sniffer,,
2024-09-07,21:11:08,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.56.1,,,,,ICMP,16206,61371,,,icmp/3/3,traffic,sniffer,,
