date,time,devname,devid,srcip,dstip,severity,attack,msg,attackid,app,appid,sessionid,repeated,app-ctrl,service,type,subtype,eventtype,url
2024-09-07,21:11:37,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.56.1,,,Network.Service: ICMP,,ICMP,16206,61377,,,icmp/3/3,utm,app-ctrl,signature,
2024-09-07,21:11:37,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.232.1,,,Network.Service: ICMP,,ICMP,16206,61379,,,icmp/3/3,utm,app-ctrl,signature,
2024-09-07,21:11:37,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.0.64,,,Operational.Technology: EtherNet.IP_Register.Session,,EtherNet.IP_Register.Session,45418,61376,,,tcp/44818,utm,app-ctrl,signature,
2024-09-07,21:11:37,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.174.1,,,Network.Service: ICMP,,ICMP,16206,61378,,,icmp/3/3,utm,app-ctrl,signature,
2024-09-07,21:11:37,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.1.190,,,Network.Service: ICMP,,ICMP,16206,61380,,,icmp/3/3,utm,app-ctrl,signature,
2024-09-07,21:11:37,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.0.64,,,Operational.Technology: CIP_CM.Unconnected.Send,,CIP_CM.Unconnected.Send,44195,61376,,,tcp/44818,utm,app-ctrl,signature,
2024-09-07,21:11:37,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.0.64,,,Operational.Technology: CIP_Response.Error.Path.Destination.Unknown,,CIP_Response.Error.Path.Destination.Unknown,45368,61376,,,tcp/44818,utm,app-ctrl,signature,
2024-09-07,21:11:37,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.0.64,,,,,CIP_Response.Error.Path.Destination.Unknown,45368,61376,,,tcp/44818,traffic,sniffer,,
2024-09-07,21:11:56,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.1.190,,,,,ICMP,16206,61380,,,icmp/3/3,traffic,sniffer,,
2024-09-07,21:11:57,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.56.1,,,,,ICMP,16206,61377,,,icmp/3/3,traffic,sniffer,,
2024-09-07,21:11:57,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.232.1,,,,,ICMP,16206,61379,,,icmp/3/3,traffic,sniffer,,
2024-09-07,21:11:57,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.174.1,,,,,ICMP,16206,61378,,,icmp/3/3,traffic,sniffer,,
