date,time,devname,devid,srcip,dstip,severity,attack,msg,attackid,app,appid,sessionid,repeated,app-ctrl,service,type,subtype,eventtype,url
2024-09-07,21:15:43,FGDIT,FGVM02TM24011031,192.168.100.2,192.168.100.3,,,Operational.Technology: Modbus_Read.Holding.Registers,,Modbus_Read.Holding.Registers,25855,61384,,,MODBUS,utm,app-ctrl,signature,
2024-09-07,21:15:43,FGDIT,FGVM02TM24011031,192.168.100.2,192.168.100.3,,,Operational.Technology: Modbus_Func03.Read.Holding.Validation,,Modbus_Func03.Read.Holding.Validation,48883,61384,,,MODBUS,utm,app-ctrl,signature,
2024-09-07,21:15:43,FGDIT,FGVM02TM24011031,192.168.100.2,192.168.100.3,,,Operational.Technology: Modbus_Read.Holding.Registers,,Modbus_Read.Holding.Registers,25855,61384,,,MODBUS,utm,app-ctrl,signature,
2024-09-07,21:15:43,FGDIT,FGVM02TM24011031,192.168.100.2,192.168.100.3,,,Operational.Technology: Modbus_Func03.Read.Holding.Validation,,Modbus_Func03.Read.Holding.Validation,48883,61384,,,MODBUS,utm,app-ctrl,signature,
2024-09-07,21:15:43,FGDIT,FGVM02TM24011031,192.168.100.2,192.168.100.3,,,Operational.Technology: Modbus_Read.Holding.Registers,,Modbus_Read.Holding.Registers,25855,61384,,,MODBUS,utm,app-ctrl,signature,
2024-09-07,21:15:43,FGDIT,FGVM02TM24011031,192.168.100.2,192.168.100.3,,,Operational.Technology: Modbus,,Modbus,16938,61384,,,MODBUS,utm,app-ctrl,signature,
2024-09-07,21:15:44,FGDIT,FGVM02TM24011031,192.168.100.2,192.168.100.3,,,Operational.Technology: Modbus_Read.Holding.Registers,,Modbus_Read.Holding.Registers,25855,61385,,,MODBUS,utm,app-ctrl,signature,
2024-09-07,21:15:44,FGDIT,FGVM02TM24011031,192.168.100.2,192.168.100.3,,,Operational.Technology: Modbus_Func03.Read.Holding.Validation,,Modbus_Func03.Read.Holding.Validation,48883,61385,,,MODBUS,utm,app-ctrl,signature,
2024-09-07,21:15:44,FGDIT,FGVM02TM24011031,192.168.100.2,192.168.100.3,,,Operational.Technology: Modbus_Read.Holding.Registers,,Modbus_Read.Holding.Registers,25855,61385,,,MODBUS,utm,app-ctrl,signature,
2024-09-07,21:15:44,FGDIT,FGVM02TM24011031,192.168.100.2,192.168.100.3,,,Operational.Technology: Modbus_Func03.Read.Holding.Validation,,Modbus_Func03.Read.Holding.Validation,48883,61385,,,MODBUS,utm,app-ctrl,signature,
2024-09-07,21:15:44,FGDIT,FGVM02TM24011031,192.168.100.2,192.168.100.3,,,Operational.Technology: Modbus_Read.Holding.Registers,,Modbus_Read.Holding.Registers,25855,61385,,,MODBUS,utm,app-ctrl,signature,
2024-09-07,21:15:44,FGDIT,FGVM02TM24011031,192.168.100.2,192.168.100.3,,,Operational.Technology: Modbus,,Modbus,16938,61385,,,MODBUS,utm,app-ctrl,signature,
2024-09-07,21:15:44,FGDIT,FGVM02TM24011031,192.168.100.2,192.168.100.3,,,,,Modbus,16938,61384,,,tcp/502,traffic,sniffer,,
2024-09-07,21:15:45,FGDIT,FGVM02TM24011031,192.168.100.2,192.168.100.3,,,,,Modbus,16938,61385,,,tcp/502,traffic,sniffer,,
