date,time,devname,devid,srcip,dstip,severity,attack,msg,attackid,app,appid,sessionid,repeated,app-ctrl,service,type,subtype,eventtype,url
2024-09-07,21:19:01,FGDIT,FGVM02TM24011031,192.168.100.2,192.168.100.3,,,Operational.Technology: Modbus_Report.Slave.ID,,Modbus_Report.Slave.ID,31625,61409,,,MODBUS,utm,app-ctrl,signature,
2024-09-07,21:19:01,FGDIT,FGVM02TM24011031,192.168.100.2,192.168.100.3,,,Operational.Technology: Modbus_Report.Slave.ID.Error,,Modbus_Report.Slave.ID.Error,41291,61409,,,MODBUS,utm,app-ctrl,signature,
2024-09-07,21:19:01,FGDIT,FGVM02TM24011031,192.168.100.2,192.168.100.3,,,Operational.Technology: Modbus_Exception.Illegal.Function,,Modbus_Exception.Illegal.Function,40034,61409,,,MODBUS,utm,app-ctrl,signature,
2024-09-07,21:19:01,FGDIT,FGVM02TM24011031,192.168.100.2,192.168.100.3,,,Operational.Technology: Modbus_Exception.Illegal.Function,,Modbus_Exception.Illegal.Function,40034,61409,,,MODBUS,utm,app-ctrl,signature,
2024-09-07,21:19:01,FGDIT,FGVM02TM24011031,192.168.100.2,192.168.100.3,,,Operational.Technology: Modbus_Encapsulated.Interface.Transport,,Modbus_Encapsulated.Interface.Transport,25899,61410,,,MODBUS,utm,app-ctrl,signature,
2024-09-07,21:19:01,FGDIT,FGVM02TM24011031,192.168.100.2,192.168.100.3,,,Operational.Technology: Modbus_Encapsulated.Interface.Transport.Read.Device.Info,,Modbus_Encapsulated.Interface.Transport.Read.Device.Info,45339,61410,,,MODBUS,utm,app-ctrl,signature,
2024-09-07,21:19:01,FGDIT,FGVM02TM24011031,192.168.100.2,192.168.100.3,,,Operational.Technology: Modbus_Read.Device.ID,,Modbus_Read.Device.ID,51756,61410,,,MODBUS,utm,app-ctrl,signature,
2024-09-07,21:19:01,FGDIT,FGVM02TM24011031,192.168.100.2,192.168.100.3,,,Operational.Technology: Modbus_Encapsulated.Interface.Transport,,Modbus_Encapsulated.Interface.Transport,25899,61410,,,MODBUS,utm,app-ctrl,signature,
2024-09-07,21:19:01,FGDIT,FGVM02TM24011031,192.168.100.2,192.168.100.3,,,Operational.Technology: Modbus_Encapsulated.Interface.Transport.Error,,Modbus_Encapsulated.Interface.Transport.Error,41297,61410,,,MODBUS,utm,app-ctrl,signature,
2024-09-07,21:19:01,FGDIT,FGVM02TM24011031,192.168.100.2,192.168.100.3,,,Operational.Technology: Modbus_Exception.Illegal.Function,,Modbus_Exception.Illegal.Function,40034,61410,,,MODBUS,utm,app-ctrl,signature,
2024-09-07,21:19:01,FGDIT,FGVM02TM24011031,192.168.100.2,192.168.100.3,,,Operational.Technology: Modbus_Exception.Illegal.Function,,Modbus_Exception.Illegal.Function,40034,61410,,,MODBUS,utm,app-ctrl,signature,
2024-09-07,21:19:02,FGDIT,FGVM02TM24011031,192.168.100.2,192.168.100.3,,,,,Modbus_Exception.Illegal.Function,40034,61409,,,tcp/502,traffic,sniffer,,
2024-09-07,21:19:02,FGDIT,FGVM02TM24011031,192.168.100.2,192.168.100.3,,,,,Modbus_Exception.Illegal.Function,40034,61410,,,tcp/502,traffic,sniffer,,
