date,time,devname,devid,srcip,dstip,severity,attack,msg,attackid,app,appid,sessionid,repeated,app-ctrl,service,type,subtype,eventtype,url
2024-09-07,21:19:50,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.0.64,,,Operational.Technology: S7.Protocol_Setup.Communication,,S7.Protocol_Setup.Communication,42210,61412,,,tcp/102,utm,app-ctrl,signature,
2024-09-07,21:19:50,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.0.64,,,Operational.Technology: S7.Protocol_Setup.Communication,,S7.Protocol_Setup.Communication,42210,61412,,,tcp/102,utm,app-ctrl,signature,
2024-09-07,21:19:50,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.0.64,,,Operational.Technology: S7.Protocol_CPU.Function.Read.SZL,,S7.Protocol_CPU.Function.Read.SZL,42225,61412,,,tcp/102,utm,app-ctrl,signature,
2024-09-07,21:19:50,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.0.64,,,Operational.Technology: S7.Protocol_CPU.Function.Read.SZL,,S7.Protocol_CPU.Function.Read.SZL,42225,61412,,,tcp/102,utm,app-ctrl,signature,
2024-09-07,21:19:50,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.0.64,,,Operational.Technology: S7.Protocol_CPU.Function.Read.SZL,,S7.Protocol_CPU.Function.Read.SZL,42225,61412,,,tcp/102,utm,app-ctrl,signature,
2024-09-07,21:19:50,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.0.64,,,IoT: Siemens.Devices,,Siemens.Devices,10000166,61412,,,tcp/102,utm,app-ctrl,signature,
2024-09-07,21:19:50,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.0.64,,,Operational.Technology: S7.Protocol_CPU.Function.Read.SZL,,S7.Protocol_CPU.Function.Read.SZL,42225,61412,,,tcp/102,utm,app-ctrl,signature,
2024-09-07,21:19:50,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.0.64,,,Operational.Technology: S7.Protocol_CPU.Function.Read.SZL,,S7.Protocol_CPU.Function.Read.SZL,42225,61412,,,tcp/102,utm,app-ctrl,signature,
2024-09-07,21:19:50,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.0.64,,,Operational.Technology: S7.Protocol_CPU.Function.Read.SZL,,S7.Protocol_CPU.Function.Read.SZL,42225,61412,,,tcp/102,utm,app-ctrl,signature,
2024-09-07,21:19:50,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.0.64,,,IoT: Siemens.Devices,,Siemens.Devices,10000166,61412,,,tcp/102,utm,app-ctrl,signature,
2024-09-07,21:19:50,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.0.64,,,Operational.Technology: S7.Protocol_CPU.Function.Read.SZL,,S7.Protocol_CPU.Function.Read.SZL,42225,61412,,,tcp/102,utm,app-ctrl,signature,
2024-09-07,21:19:50,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.0.64,,,Operational.Technology: S7.Protocol_CPU.Function.Read.SZL,,S7.Protocol_CPU.Function.Read.SZL,42225,61412,,,tcp/102,utm,app-ctrl,signature,
2024-09-07,21:19:50,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.0.64,,,Operational.Technology: S7.Protocol_CPU.Function.Read.SZL,,S7.Protocol_CPU.Function.Read.SZL,42225,61412,,,tcp/102,utm,app-ctrl,signature,
2024-09-07,21:19:51,FGDIT,FGVM02TM24011031,192.168.0.142,192.168.0.64,,,,,S7.Protocol_CPU.Function.Read.SZL,42225,61412,,,tcp/102,traffic,sniffer,,
