date,time,devname,devid,srcip,dstip,severity,attack,msg,attackid,app,appid,sessionid,repeated,app-ctrl,service,type,subtype,eventtype,url
2024-09-07,21:32:07,FGDIT,FGVM02TM24011031,192.168.2.91,192.168.2.86,,,Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,,DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,51812,61430,,,DNP3,utm,app-ctrl,signature,
2024-09-07,21:32:07,FGDIT,FGVM02TM24011031,192.168.2.91,192.168.2.86,,,Operational.Technology: DNP3_Unsolicited.Message,,DNP3_Unsolicited.Message,31818,61430,,,DNP3,utm,app-ctrl,signature,
2024-09-07,21:32:07,FGDIT,FGVM02TM24011031,192.168.2.91,192.168.2.86,,,Operational.Technology: DNP3_Unsolicited.Message,,DNP3_Unsolicited.Message,31818,61430,,,DNP3,utm,app-ctrl,signature,
2024-09-07,21:32:07,FGDIT,FGVM02TM24011031,192.168.2.91,192.168.2.86,,,IoT: DNP.DNP3,,DNP.DNP3,10003728,61430,,,DNP3,utm,app-ctrl,signature,
2024-09-07,21:32:07,FGDIT,FGVM02TM24011031,192.168.2.91,192.168.2.86,,,Operational.Technology: DNP3_Data.Link.Layer.Function.Reset.Of.Remote.Link,,DNP3_Data.Link.Layer.Function.Reset.Of.Remote.Link,51798,61430,,,DNP3,utm,app-ctrl,signature,
2024-09-07,21:32:07,FGDIT,FGVM02TM24011031,192.168.2.91,192.168.2.86,,,Operational.Technology: DNP3_Data.Link.Layer.Function.ACK,,DNP3_Data.Link.Layer.Function.ACK,51802,61430,,,DNP3,utm,app-ctrl,signature,
2024-09-07,21:32:07,FGDIT,FGVM02TM24011031,192.168.2.91,192.168.2.86,,,IoT: DNP.DNP3,,DNP.DNP3,10003728,61430,,,DNP3,utm,app-ctrl,signature,
2024-09-07,21:32:07,FGDIT,FGVM02TM24011031,192.168.2.91,192.168.2.86,,,Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,,DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,51812,61430,,,DNP3,utm,app-ctrl,signature,
2024-09-07,21:32:07,FGDIT,FGVM02TM24011031,192.168.2.91,192.168.2.86,,,Operational.Technology: DNP3_Confirm,,DNP3_Confirm,31756,61430,,,DNP3,utm,app-ctrl,signature,
2024-09-07,21:32:07,FGDIT,FGVM02TM24011031,192.168.2.91,192.168.2.86,,,Operational.Technology: DNP3_Confirm,,DNP3_Confirm,31756,61430,,,DNP3,utm,app-ctrl,signature,
2024-09-07,21:32:07,FGDIT,FGVM02TM24011031,192.168.2.91,192.168.2.86,,,Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,,DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,51812,61430,,,DNP3,utm,app-ctrl,signature,
2024-09-07,21:32:07,FGDIT,FGVM02TM24011031,192.168.2.91,192.168.2.86,,,Operational.Technology: DNP3_Write,,DNP3_Write,17842,61430,,,DNP3,utm,app-ctrl,signature,
