appid,sessionid,repeated,app,app-ctrl,apprisk,service,srcip,dstip,subtype,eventtype,url,parameters,filename
17017,61368,,NetBIOS.Name.Service,,elevated,udp/137,192.168.1.190,192.168.0.142,app-ctrl,signature,,,
17017,61370,,NetBIOS.Name.Service,,elevated,udp/137,192.168.56.1,192.168.0.142,app-ctrl,signature,,,
17017,61372,,NetBIOS.Name.Service,,elevated,udp/137,192.168.174.1,192.168.0.142,app-ctrl,signature,,,
17017,61374,,NetBIOS.Name.Service,,elevated,udp/137,192.168.232.1,192.168.0.142,app-ctrl,signature,,,
45418,61367,,EtherNet.IP_Register.Session,,elevated,tcp/44818,192.168.0.142,192.168.0.64,app-ctrl,signature,,,
16206,61369,,ICMP,,elevated,icmp/3/3,192.168.0.142,192.168.1.190,app-ctrl,signature,,,
44194,61367,,CIP_CM.Forward.Open,,elevated,tcp/44818,192.168.0.142,192.168.0.64,app-ctrl,signature,,,
45361,61367,,CIP_Response.Success,,elevated,tcp/44818,192.168.0.142,192.168.0.64,app-ctrl,signature,,,
53036,61367,,PCCC_Protected.Typed.Logical.Read.With.Three.Address.Fields,,elevated,tcp/44818,192.168.0.142,192.168.0.64,app-ctrl,signature,,,
16206,61371,,ICMP,,elevated,icmp/3/3,192.168.0.142,192.168.56.1,app-ctrl,signature,,,
16206,61373,,ICMP,,elevated,icmp/3/3,192.168.0.142,192.168.174.1,app-ctrl,signature,,,
16206,61375,,ICMP,,elevated,icmp/3/3,192.168.0.142,192.168.232.1,app-ctrl,signature,,,
