appid,sessionid,repeated,app,app-ctrl,apprisk,service,srcip,dstip,subtype,eventtype,url,parameters,filename
25873,61389,,Modbus_Read.Input.Registers,,elevated,MODBUS,192.168.100.2,192.168.100.3,app-ctrl,signature,,,00 01 00 00
48884,61389,,Modbus_Func04.Read.Input.Validation,,elevated,MODBUS,192.168.100.2,192.168.100.3,app-ctrl,signature,,"UnitID:1, Address:1, Address:0","UnitID=1,Ref=1-0,Data=00 00"
25873,61389,,Modbus_Read.Input.Registers,,elevated,MODBUS,192.168.100.2,192.168.100.3,app-ctrl,signature,,,
25873,61389,,Modbus_Read.Input.Registers,,elevated,MODBUS,192.168.100.2,192.168.100.3,app-ctrl,signature,,,
41282,61389,,Modbus_Read.Input.Registers.Error,,elevated,MODBUS,192.168.100.2,192.168.100.3,app-ctrl,signature,,,01
40034,61389,,Modbus_Exception.Illegal.Function,,elevated,MODBUS,192.168.100.2,192.168.100.3,app-ctrl,signature,,,
40034,61389,,Modbus_Exception.Illegal.Function,,elevated,MODBUS,192.168.100.2,192.168.100.3,app-ctrl,signature,,,
25873,61391,,Modbus_Read.Input.Registers,,elevated,MODBUS,192.168.100.2,192.168.100.3,app-ctrl,signature,,,00 01 00 00
48884,61391,,Modbus_Func04.Read.Input.Validation,,elevated,MODBUS,192.168.100.2,192.168.100.3,app-ctrl,signature,,"UnitID:3, Address:1, Address:0","UnitID=3,Ref=1-0,Data=00 00"
25873,61391,,Modbus_Read.Input.Registers,,elevated,MODBUS,192.168.100.2,192.168.100.3,app-ctrl,signature,,,
25873,61391,,Modbus_Read.Input.Registers,,elevated,MODBUS,192.168.100.2,192.168.100.3,app-ctrl,signature,,,
25873,61393,,Modbus_Read.Input.Registers,,elevated,MODBUS,192.168.100.2,192.168.100.3,app-ctrl,signature,,,00 01 00 00
48884,61393,,Modbus_Func04.Read.Input.Validation,,elevated,MODBUS,192.168.100.2,192.168.100.3,app-ctrl,signature,,"UnitID:5, Address:1, Address:0","UnitID=5,Ref=1-0,Data=00 00"
25873,61393,,Modbus_Read.Input.Registers,,elevated,MODBUS,192.168.100.2,192.168.100.3,app-ctrl,signature,,,
25873,61393,,Modbus_Read.Input.Registers,,elevated,MODBUS,192.168.100.2,192.168.100.3,app-ctrl,signature,,,
25873,61395,,Modbus_Read.Input.Registers,,elevated,MODBUS,192.168.100.2,192.168.100.3,app-ctrl,signature,,,00 01 00 00
48884,61395,,Modbus_Func04.Read.Input.Validation,,elevated,MODBUS,192.168.100.2,192.168.100.3,app-ctrl,signature,,"UnitID:7, Address:1, Address:0","UnitID=7,Ref=1-0,Data=00 00"
25873,61395,,Modbus_Read.Input.Registers,,elevated,MODBUS,192.168.100.2,192.168.100.3,app-ctrl,signature,,,
