appid,sessionid,repeated,app,app-ctrl,apprisk,service,srcip,dstip,subtype,eventtype,url,parameters,filename
51812,61430,,DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,,elevated,DNP3,192.168.2.91,192.168.2.86,app-ctrl,signature,,,
31818,61430,,DNP3_Unsolicited.Message,,elevated,DNP3,192.168.2.91,192.168.2.86,app-ctrl,signature,,,90 00
31818,61430,,DNP3_Unsolicited.Message,,elevated,DNP3,192.168.2.91,192.168.2.86,app-ctrl,signature,,,
10003728,61430,,DNP.DNP3,,low,DNP3,192.168.2.91,192.168.2.86,app-ctrl,signature,,,
51798,61430,,DNP3_Data.Link.Layer.Function.Reset.Of.Remote.Link,,elevated,DNP3,192.168.2.91,192.168.2.86,app-ctrl,signature,,,
51802,61430,,DNP3_Data.Link.Layer.Function.ACK,,elevated,DNP3,192.168.2.91,192.168.2.86,app-ctrl,signature,,,
10003728,61430,,DNP.DNP3,,low,DNP3,192.168.2.91,192.168.2.86,app-ctrl,signature,,,
51812,61430,,DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,,elevated,DNP3,192.168.2.91,192.168.2.86,app-ctrl,signature,,,
31756,61430,,DNP3_Confirm,,elevated,DNP3,192.168.2.91,192.168.2.86,app-ctrl,signature,,,Null
31756,61430,,DNP3_Confirm,,elevated,DNP3,192.168.2.91,192.168.2.86,app-ctrl,signature,,,
51812,61430,,DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,,elevated,DNP3,192.168.2.91,192.168.2.86,app-ctrl,signature,,,
17842,61430,,DNP3_Write,,elevated,DNP3,192.168.2.91,192.168.2.86,app-ctrl,signature,,,32 01 07 01 d2 00 9e 9f 80 01
51812,61430,,DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,,elevated,DNP3,192.168.2.91,192.168.2.86,app-ctrl,signature,,,
31817,61430,,DNP3_Response,,elevated,DNP3,192.168.2.91,192.168.2.86,app-ctrl,signature,,,80 00
10003728,61430,,DNP.DNP3,,low,DNP3,192.168.2.91,192.168.2.86,app-ctrl,signature,,,
51812,61430,,DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,,elevated,DNP3,192.168.2.91,192.168.2.86,app-ctrl,signature,,,
