apprisk,type,tz,time,appcat,action,proto,dstserver,icmptype,srcmac,sentpkt,app,msg,dstport,subtype,trandisp,sentdelta,icmpcode,srcintfrole,transip,srcintf,durationdelta,appid,sessionid,rcvdpkt,incidentserialno,srcserver,direction,masterdstmac,logid,dstintf,dstintfrole,rcvddelta,utmaction,policytype,icmpid,mastersrcmac,srcport,transport,sentbyte,poluuid,vd,dstmac,identifier,duration,dstip,srcip,srccountry,dstcountry,rcvdpktdelta,rcvdbyte,level,sentpktdelta,policyid,devname,applist,service,countapp,devid,date,eventtype,eventtime
elevated,utm,-0700,21:10:48,Network.Service,pass,17,,,,,NetBIOS.Name.Service,Network.Service: NetBIOS.Name.Service,137,app-ctrl,,,,undefined,,port7,,17017,61368,,206427852,,outgoing,,1059028704,port7,undefined,,,sniffer,,,137,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,,192.168.0.142,192.168.1.190,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,udp/137,,FGVM02TM24011031,2024-09-07,signature,1725768648280566432
elevated,utm,-0700,21:10:48,Network.Service,pass,17,,,,,NetBIOS.Name.Service,Network.Service: NetBIOS.Name.Service,137,app-ctrl,,,,undefined,,port7,,17017,61370,,206427857,,outgoing,,1059028704,port7,undefined,,,sniffer,,,137,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,,192.168.0.142,192.168.56.1,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,udp/137,,FGVM02TM24011031,2024-09-07,signature,1725768648285153914
elevated,utm,-0700,21:10:48,Network.Service,pass,17,,,,,NetBIOS.Name.Service,Network.Service: NetBIOS.Name.Service,137,app-ctrl,,,,undefined,,port7,,17017,61372,,206427859,,outgoing,,1059028704,port7,undefined,,,sniffer,,,137,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,,192.168.0.142,192.168.174.1,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,udp/137,,FGVM02TM24011031,2024-09-07,signature,1725768648286693621
elevated,utm,-0700,21:10:48,Network.Service,pass,17,,,,,NetBIOS.Name.Service,Network.Service: NetBIOS.Name.Service,137,app-ctrl,,,,undefined,,port7,,17017,61374,,206427861,,outgoing,,1059028704,port7,undefined,,,sniffer,,,137,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,,192.168.0.142,192.168.232.1,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,udp/137,,FGVM02TM24011031,2024-09-07,signature,1725768648288017986
elevated,utm,-0700,21:10:49,Operational.Technology,pass,6,,,,,EtherNet.IP_Register.Session,Operational.Technology: EtherNet.IP_Register.Session,44818,app-ctrl,,,,undefined,,port7,,45418,61367,,206427851,,outgoing,,1059028704,port7,undefined,,,sniffer,,,36809,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,,192.168.0.64,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,tcp/44818,,FGVM02TM24011031,2024-09-07,signature,1725768648278292501
elevated,utm,-0700,21:10:49,Network.Service,pass,1,,0x03,,,ICMP,Network.Service: ICMP,,app-ctrl,,,0x03,undefined,,port7,,16206,61369,,206427853,,outgoing,,1059028704,port7,undefined,,,sniffer,0x0000,,,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,,192.168.1.190,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,icmp/3/3,,FGVM02TM24011031,2024-09-07,signature,1725768648281632972
elevated,utm,-0700,21:10:49,Operational.Technology,pass,6,,,,,CIP_CM.Forward.Open,Operational.Technology: CIP_CM.Forward.Open,44818,app-ctrl,,,,undefined,,port7,,44194,61367,,206427854,,outgoing,,1059028704,port7,undefined,,,sniffer,,,36809,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,,192.168.0.64,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,tcp/44818,,FGVM02TM24011031,2024-09-07,signature,1725768648282813953
elevated,utm,-0700,21:10:49,Operational.Technology,pass,6,,,,,CIP_Response.Success,Operational.Technology: CIP_Response.Success,44818,app-ctrl,,,,undefined,,port7,,45361,61367,,206427855,,incoming,,1059028704,port7,undefined,,,sniffer,,,36809,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,,192.168.0.64,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,tcp/44818,,FGVM02TM24011031,2024-09-07,signature,1725768648283527829
elevated,utm,-0700,21:10:49,Operational.Technology,pass,6,,,,,PCCC_Protected.Typed.Logical.Read.With.Three.Address.Fields,Operational.Technology: PCCC_Protected.Typed.Logical.Read.With.Three.Address.Fields,44818,app-ctrl,,,,undefined,,port7,,53036,61367,,206427856,,outgoing,,1059028704,port7,undefined,,,sniffer,,,36809,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,,192.168.0.64,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,tcp/44818,,FGVM02TM24011031,2024-09-07,signature,1725768648284582474
elevated,utm,-0700,21:10:49,Network.Service,pass,1,,0x03,,,ICMP,Network.Service: ICMP,,app-ctrl,,,0x03,undefined,,port7,,16206,61371,,206427858,,outgoing,,1059028704,port7,undefined,,,sniffer,0x0000,,,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,,192.168.56.1,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,icmp/3/3,,FGVM02TM24011031,2024-09-07,signature,1725768648285589623
