apprisk,type,tz,time,appcat,action,proto,dstserver,filesize,srcmac,sentpkt,app,msg,dstport,subtype,cloudaction,trandisp,sentdelta,srcintfrole,transip,srcintf,durationdelta,appid,sessionid,rcvdpkt,incidentserialno,srcserver,direction,masterdstmac,filename,clouduser,logid,dstintf,dstintfrole,rcvddelta,utmaction,policytype,parameters,mastersrcmac,srcport,transport,sentbyte,poluuid,vd,dstmac,duration,dstip,srcip,srccountry,dstcountry,rcvdpktdelta,rcvdbyte,level,sentpktdelta,policyid,devname,applist,service,countapp,devid,date,eventtype,eventtime
elevated,utm,-0700,21:14:05,Operational.Technology,pass,6,,4,,,Modbus_Write.Single.Register,Operational.Technology: Modbus_Write.Single.Register,502,app-ctrl,others,,,undefined,,port7,,25902,61382,,206427876,,outgoing,,00 0a 03 e8,192.168.100.2,1059028704,port7,undefined,,,sniffer,,,37019,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725768844926616553
elevated,utm,-0700,21:14:05,Operational.Technology,pass,6,,6,,,Modbus_Func06.Write.Single.Reg.Validation,Operational.Technology: Modbus_Func06.Write.Single.Reg.Validation,502,app-ctrl,others,,,undefined,,port7,,48886,61382,,206427877,,outgoing,,"UnitID=1,Ref=10,Data=03 e8",192.168.100.2,1059028704,port7,undefined,,,sniffer,"UnitID:1, Address:10, Value:1000",,37019,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725768844926737411
elevated,utm,-0700,21:14:05,Operational.Technology,pass,6,,,,,Modbus_Write.Single.Register,Operational.Technology: Modbus_Write.Single.Register,502,app-ctrl,,,,undefined,,port7,,25902,61382,,206427878,,outgoing,,,,1059028704,port7,undefined,,,sniffer,,,37019,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725768844926819452
elevated,utm,-0700,21:14:05,Operational.Technology,pass,6,,,,,Modbus_Func06.Write.Single.Reg.Validation,Operational.Technology: Modbus_Func06.Write.Single.Reg.Validation,502,app-ctrl,,,,undefined,,port7,,48886,61382,,206427879,,incoming,,,,1059028704,port7,undefined,,,sniffer,,,37019,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725768844927247948
elevated,utm,-0700,21:14:05,Operational.Technology,pass,6,,4,,,Modbus_Write.Single.Register,Operational.Technology: Modbus_Write.Single.Register,502,app-ctrl,others,,,undefined,,port7,,25902,61382,,206427880,,incoming,,00 0a 03 e8,192.168.100.3,1059028704,port7,undefined,,,sniffer,,,37019,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725768844927335040
elevated,utm,-0700,21:14:05,Operational.Technology,pass,6,,6,,,Modbus_Func06.Write.Single.Reg.Validation,Operational.Technology: Modbus_Func06.Write.Single.Reg.Validation,502,app-ctrl,others,,,undefined,,port7,,48886,61382,,206427881,,incoming,,"UnitID=1,Ref=10,Data=03 e8",192.168.100.3,1059028704,port7,undefined,,,sniffer,"UnitID:1, Address:10, Value:1000",,37019,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725768844927416335
elevated,utm,-0700,21:14:05,Operational.Technology,pass,6,,,,,Modbus,Operational.Technology: Modbus,502,app-ctrl,,,,undefined,,port7,,16938,61382,,206427882,,incoming,,,,1059028704,port7,undefined,,,sniffer,,,37019,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725768844927481953
elevated,traffic,-0700,21:14:05,Industrial,accept,6,0,,08:00:27:27:0f:cb,6,Modbus,,502,sniffer,,snat,13,undefined,0.0.0.0,port7,1,16938,61382,4,,0,,08:00:27:b0:47:08,,,0004000017,port7,undefined,13,allow,sniffer,,08:00:27:27:0f:cb,37019,0,13,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,08:00:27:b0:47:08,1,192.168.100.3,192.168.100.2,Reserved,Reserved,4,13,notice,6,4,FGDIT,,tcp/502,7,FGVM02TM24011031,2024-09-07,,1725768845594764902
elevated,traffic,-0700,21:14:36,Network.Service,accept,17,0,,24:41:8c:64:12:11,5,NetBIOS.Name.Service,,137,sniffer,,snat,390,undefined,0.0.0.0,port7,229,17017,61370,0,,0,,08:00:27:50:4c:14,,,0004000017,port7,undefined,0,allow,sniffer,,24:41:8c:64:12:11,137,0,390,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,08:00:27:50:4c:14,229,192.168.0.142,192.168.56.1,Reserved,Reserved,0,0,notice,5,4,FGDIT,,udp/137,1,FGVM02TM24011031,2024-09-07,,1725768876438815845
elevated,traffic,-0700,21:14:36,Network.Service,accept,17,0,,24:41:8c:64:12:11,5,NetBIOS.Name.Service,,137,sniffer,,snat,390,undefined,0.0.0.0,port7,229,17017,61372,0,,0,,08:00:27:50:4c:14,,,0004000017,port7,undefined,0,allow,sniffer,,24:41:8c:64:12:11,137,0,390,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,08:00:27:50:4c:14,229,192.168.0.142,192.168.174.1,Reserved,Reserved,0,0,notice,5,4,FGDIT,,udp/137,1,FGVM02TM24011031,2024-09-07,,1725768876438866988
