apprisk,type,tz,time,appcat,action,proto,dstserver,filesize,srcmac,sentpkt,app,msg,dstport,subtype,cloudaction,trandisp,sentdelta,srcintfrole,transip,srcintf,durationdelta,appid,sessionid,rcvdpkt,incidentserialno,srcserver,direction,masterdstmac,filename,clouduser,logid,dstintf,dstintfrole,rcvddelta,utmaction,policytype,parameters,mastersrcmac,srcport,transport,sentbyte,poluuid,vd,dstmac,duration,dstip,srcip,srccountry,dstcountry,rcvdpktdelta,rcvdbyte,level,sentpktdelta,policyid,devname,applist,service,countapp,devid,date,eventtype,eventtime
elevated,utm,-0700,21:15:43,Operational.Technology,pass,6,,4,,,Modbus_Read.Holding.Registers,Operational.Technology: Modbus_Read.Holding.Registers,502,app-ctrl,others,,,undefined,,port7,,25855,61384,,206427889,,outgoing,,00 09 00 01,192.168.100.2,1059028704,port7,undefined,,,sniffer,,,33332,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725768943657939480
elevated,utm,-0700,21:15:43,Operational.Technology,pass,6,,6,,,Modbus_Func03.Read.Holding.Validation,Operational.Technology: Modbus_Func03.Read.Holding.Validation,502,app-ctrl,others,,,undefined,,port7,,48883,61384,,206427890,,outgoing,,"UnitID=1,Ref=9-9,Data=00 01",192.168.100.2,1059028704,port7,undefined,,,sniffer,"UnitID:1, Address:9, Address:9",,33332,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725768943658062957
elevated,utm,-0700,21:15:43,Operational.Technology,pass,6,,,,,Modbus_Read.Holding.Registers,Operational.Technology: Modbus_Read.Holding.Registers,502,app-ctrl,,,,undefined,,port7,,25855,61384,,206427891,,outgoing,,,,1059028704,port7,undefined,,,sniffer,,,33332,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725768943658133179
elevated,utm,-0700,21:15:43,Operational.Technology,pass,6,,,,,Modbus_Func03.Read.Holding.Validation,Operational.Technology: Modbus_Func03.Read.Holding.Validation,502,app-ctrl,,,,undefined,,port7,,48883,61384,,206427892,,incoming,,,,1059028704,port7,undefined,,,sniffer,,,33332,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725768943658525004
elevated,utm,-0700,21:15:43,Operational.Technology,pass,6,,3,,,Modbus_Read.Holding.Registers,Operational.Technology: Modbus_Read.Holding.Registers,502,app-ctrl,others,,,undefined,,port7,,25855,61384,,206427893,,incoming,,02 00 00,192.168.100.3,1059028704,port7,undefined,,,sniffer,,,33332,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725768943658623770
elevated,utm,-0700,21:15:43,Operational.Technology,pass,6,,,,,Modbus,Operational.Technology: Modbus,502,app-ctrl,,,,undefined,,port7,,16938,61384,,206427894,,incoming,,,,1059028704,port7,undefined,,,sniffer,,,33332,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725768943658699411
elevated,utm,-0700,21:15:44,Operational.Technology,pass,6,,4,,,Modbus_Read.Holding.Registers,Operational.Technology: Modbus_Read.Holding.Registers,502,app-ctrl,others,,,undefined,,port7,,25855,61385,,206427895,,outgoing,,00 00 00 09,192.168.100.2,1059028704,port7,undefined,,,sniffer,,,33334,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725768943659853490
elevated,utm,-0700,21:15:44,Operational.Technology,pass,6,,6,,,Modbus_Func03.Read.Holding.Validation,Operational.Technology: Modbus_Func03.Read.Holding.Validation,502,app-ctrl,others,,,undefined,,port7,,48883,61385,,206427896,,outgoing,,"UnitID=1,Ref=0-8,Data=00 09",192.168.100.2,1059028704,port7,undefined,,,sniffer,"UnitID:1, Address:0, Address:8",,33334,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725768943660068800
elevated,utm,-0700,21:15:44,Operational.Technology,pass,6,,,,,Modbus_Read.Holding.Registers,Operational.Technology: Modbus_Read.Holding.Registers,502,app-ctrl,,,,undefined,,port7,,25855,61385,,206427897,,outgoing,,,,1059028704,port7,undefined,,,sniffer,,,33334,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725768943660195007
elevated,utm,-0700,21:15:44,Operational.Technology,pass,6,,,,,Modbus_Func03.Read.Holding.Validation,Operational.Technology: Modbus_Func03.Read.Holding.Validation,502,app-ctrl,,,,undefined,,port7,,48883,61385,,206427898,,incoming,,,,1059028704,port7,undefined,,,sniffer,,,33334,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725768943660581950
