apprisk,type,tz,time,appcat,action,proto,dstserver,filesize,srcmac,sentpkt,app,msg,dstport,subtype,cloudaction,trandisp,sentdelta,srcintfrole,transip,srcintf,durationdelta,appid,sessionid,rcvdpkt,incidentserialno,srcserver,direction,masterdstmac,filename,clouduser,logid,dstintf,dstintfrole,rcvddelta,utmaction,policytype,parameters,mastersrcmac,srcport,transport,sentbyte,poluuid,vd,dstmac,duration,dstip,srcip,srccountry,dstcountry,rcvdpktdelta,rcvdbyte,level,sentpktdelta,policyid,devname,applist,service,countapp,devid,date,eventtype,eventtime
elevated,utm,-0700,21:16:32,Operational.Technology,pass,6,,4,,,Modbus_Read.Holding.Registers,Operational.Technology: Modbus_Read.Holding.Registers,502,app-ctrl,others,,,undefined,,port7,,25855,61386,,206427901,,outgoing,,00 09 00 01,192.168.100.2,1059028704,port7,undefined,,,sniffer,,,33328,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725768992672121123
elevated,utm,-0700,21:16:32,Operational.Technology,pass,6,,6,,,Modbus_Func03.Read.Holding.Validation,Operational.Technology: Modbus_Func03.Read.Holding.Validation,502,app-ctrl,others,,,undefined,,port7,,48883,61386,,206427902,,outgoing,,"UnitID=1,Ref=9-9,Data=00 01",192.168.100.2,1059028704,port7,undefined,,,sniffer,"UnitID:1, Address:9, Address:9",,33328,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725768992672167243
elevated,utm,-0700,21:16:32,Operational.Technology,pass,6,,,,,Modbus_Read.Holding.Registers,Operational.Technology: Modbus_Read.Holding.Registers,502,app-ctrl,,,,undefined,,port7,,25855,61386,,206427903,,outgoing,,,,1059028704,port7,undefined,,,sniffer,,,33328,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725768992672195272
elevated,utm,-0700,21:16:32,Operational.Technology,pass,6,,,,,Modbus_Func03.Read.Holding.Validation,Operational.Technology: Modbus_Func03.Read.Holding.Validation,502,app-ctrl,,,,undefined,,port7,,48883,61386,,206427904,,incoming,,,,1059028704,port7,undefined,,,sniffer,,,33328,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725768992672351217
elevated,utm,-0700,21:16:32,Operational.Technology,pass,6,,3,,,Modbus_Read.Holding.Registers,Operational.Technology: Modbus_Read.Holding.Registers,502,app-ctrl,others,,,undefined,,port7,,25855,61386,,206427905,,incoming,,02 00 00,192.168.100.3,1059028704,port7,undefined,,,sniffer,,,33328,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725768992672389668
elevated,utm,-0700,21:16:32,Operational.Technology,pass,6,,,,,Modbus,Operational.Technology: Modbus,502,app-ctrl,,,,undefined,,port7,,16938,61386,,206427906,,incoming,,,,1059028704,port7,undefined,,,sniffer,,,33328,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725768992672418963
elevated,utm,-0700,21:16:33,Operational.Technology,pass,6,,25,,,Modbus_Func16.Write.MultiReg.Validation,Operational.Technology: Modbus_Func16.Write.MultiReg.Validation,502,app-ctrl,others,,,undefined,,port7,,48888,61387,,206427907,,outgoing,,"UnitID=1,Ref=0-8,Data=65 73 74 6f 20 65 73 20 75 6e 61 20 70 72 75 65 62 61",192.168.100.2,1059028704,port7,undefined,,,sniffer,"UnitID:1, Address:0, Address:8, Value:esto es una prueba",,33330,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725768992672899178
elevated,utm,-0700,21:16:33,Operational.Technology,pass,6,,23,,,Modbus_Write.Multiple.Registers,Operational.Technology: Modbus_Write.Multiple.Registers,502,app-ctrl,others,,,undefined,,port7,,25900,61387,,206427908,,outgoing,,00 00 00 09 12 65 73 74 6f 20 65 73 20 75 6e 61 20 70 72 75 65 62 61,192.168.100.2,1059028704,port7,undefined,,,sniffer,,,33330,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725768992672931786
elevated,utm,-0700,21:16:33,Operational.Technology,pass,6,,,,,Modbus_Write.Multiple.Registers,Operational.Technology: Modbus_Write.Multiple.Registers,502,app-ctrl,,,,undefined,,port7,,25900,61387,,206427909,,outgoing,,,,1059028704,port7,undefined,,,sniffer,,,33330,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725768992672963677
elevated,utm,-0700,21:16:33,Operational.Technology,pass,6,,4,,,Modbus_Write.Multiple.Registers,Operational.Technology: Modbus_Write.Multiple.Registers,502,app-ctrl,others,,,undefined,,port7,,25900,61387,,206427910,,incoming,,00 00 00 09,192.168.100.3,1059028704,port7,undefined,,,sniffer,,,33330,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725768992673102212
