apprisk,type,tz,time,appcat,action,proto,dstserver,filesize,srcmac,sentpkt,app,msg,dstport,subtype,cloudaction,trandisp,sentdelta,srcintfrole,transip,srcintf,durationdelta,appid,sessionid,rcvdpkt,incidentserialno,srcserver,direction,masterdstmac,filename,clouduser,logid,dstintf,dstintfrole,rcvddelta,utmaction,policytype,mastersrcmac,srcport,transport,sentbyte,poluuid,vd,dstmac,duration,dstip,srcip,srccountry,dstcountry,rcvdpktdelta,rcvdbyte,level,sentpktdelta,policyid,devname,applist,service,countapp,devid,date,eventtype,eventtime
elevated,utm,-0700,21:19:01,Operational.Technology,pass,6,,,,,Modbus_Report.Slave.ID,Operational.Technology: Modbus_Report.Slave.ID,502,app-ctrl,,,,undefined,,port7,,31625,61409,,206427991,,outgoing,,,,1059028704,port7,undefined,,,sniffer,,49810,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769141525656402
elevated,utm,-0700,21:19:01,Operational.Technology,pass,6,,1,,,Modbus_Report.Slave.ID.Error,Operational.Technology: Modbus_Report.Slave.ID.Error,502,app-ctrl,others,,,undefined,,port7,,41291,61409,,206427992,,incoming,,01,192.168.100.3,1059028704,port7,undefined,,,sniffer,,49810,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769141526451747
elevated,utm,-0700,21:19:01,Operational.Technology,pass,6,,,,,Modbus_Exception.Illegal.Function,Operational.Technology: Modbus_Exception.Illegal.Function,502,app-ctrl,others,,,undefined,,port7,,40034,61409,,206427993,,incoming,,,192.168.100.3,1059028704,port7,undefined,,,sniffer,,49810,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769141526765117
elevated,utm,-0700,21:19:01,Operational.Technology,pass,6,,,,,Modbus_Exception.Illegal.Function,Operational.Technology: Modbus_Exception.Illegal.Function,502,app-ctrl,,,,undefined,,port7,,40034,61409,,206427994,,incoming,,,,1059028704,port7,undefined,,,sniffer,,49810,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769141527045635
elevated,utm,-0700,21:19:01,Operational.Technology,pass,6,,3,,,Modbus_Encapsulated.Interface.Transport,Operational.Technology: Modbus_Encapsulated.Interface.Transport,502,app-ctrl,others,,,undefined,,port7,,25899,61410,,206427995,,outgoing,,0e 01 00,192.168.100.2,1059028704,port7,undefined,,,sniffer,,49812,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769141528276640
elevated,utm,-0700,21:19:01,Operational.Technology,pass,6,,2,,,Modbus_Encapsulated.Interface.Transport.Read.Device.Info,Operational.Technology: Modbus_Encapsulated.Interface.Transport.Read.Device.Info,502,app-ctrl,others,,,undefined,,port7,,45339,61410,,206427996,,outgoing,,01 00,192.168.100.2,1059028704,port7,undefined,,,sniffer,,49812,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769141528619589
elevated,utm,-0700,21:19:01,Operational.Technology,pass,6,,,,,Modbus_Read.Device.ID,Operational.Technology: Modbus_Read.Device.ID,502,app-ctrl,,,,undefined,,port7,,51756,61410,,206427997,,outgoing,,,,1059028704,port7,undefined,,,sniffer,,49812,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769141528868568
elevated,utm,-0700,21:19:01,Operational.Technology,pass,6,,,,,Modbus_Encapsulated.Interface.Transport,Operational.Technology: Modbus_Encapsulated.Interface.Transport,502,app-ctrl,,,,undefined,,port7,,25899,61410,,206427998,,outgoing,,,,1059028704,port7,undefined,,,sniffer,,49812,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769141529304180
elevated,utm,-0700,21:19:01,Operational.Technology,pass,6,,1,,,Modbus_Encapsulated.Interface.Transport.Error,Operational.Technology: Modbus_Encapsulated.Interface.Transport.Error,502,app-ctrl,others,,,undefined,,port7,,41297,61410,,206427999,,incoming,,01,192.168.100.3,1059028704,port7,undefined,,,sniffer,,49812,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769141529730113
elevated,utm,-0700,21:19:01,Operational.Technology,pass,6,,,,,Modbus_Exception.Illegal.Function,Operational.Technology: Modbus_Exception.Illegal.Function,502,app-ctrl,others,,,undefined,,port7,,40034,61410,,206428000,,incoming,,,192.168.100.3,1059028704,port7,undefined,,,sniffer,,49812,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769141530035906
