apprisk,type,tz,time,appcat,action,proto,dstserver,filesize,srcmac,sentpkt,app,msg,dstport,subtype,cloudaction,trandisp,sentdelta,srcintfrole,transip,srcintf,durationdelta,appid,sessionid,rcvdpkt,incidentserialno,srcserver,direction,masterdstmac,filename,clouduser,logid,dstintf,dstintfrole,rcvddelta,utmaction,policytype,parameters,mastersrcmac,srcport,transport,sentbyte,poluuid,vd,dstmac,duration,dstip,srcip,srccountry,dstcountry,rcvdpktdelta,rcvdbyte,level,sentpktdelta,policyid,devname,applist,service,countapp,devid,date,eventtype,eventtime
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,4,,,Modbus_Read.Input.Registers,Operational.Technology: Modbus_Read.Input.Registers,502,app-ctrl,others,,,undefined,,port7,,25873,61389,,206427920,,outgoing,,00 01 00 00,192.168.100.2,1059028704,port7,undefined,,,sniffer,,,40299,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092043104830
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,6,,,Modbus_Func04.Read.Input.Validation,Operational.Technology: Modbus_Func04.Read.Input.Validation,502,app-ctrl,others,,,undefined,,port7,,48884,61389,,206427921,,outgoing,,"UnitID=1,Ref=1-0,Data=00 00",192.168.100.2,1059028704,port7,undefined,,,sniffer,"UnitID:1, Address:1, Address:0",,40299,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092043150867
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,,,,Modbus_Read.Input.Registers,Operational.Technology: Modbus_Read.Input.Registers,502,app-ctrl,,,,undefined,,port7,,25873,61389,,206427922,,outgoing,,,,1059028704,port7,undefined,,,sniffer,,,40299,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092043186651
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,,,,Modbus_Read.Input.Registers,Operational.Technology: Modbus_Read.Input.Registers,502,app-ctrl,,,,undefined,,port7,,25873,61389,,206427923,,outgoing,,,,1059028704,port7,undefined,,,sniffer,,,40299,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092043265416
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,1,,,Modbus_Read.Input.Registers.Error,Operational.Technology: Modbus_Read.Input.Registers.Error,502,app-ctrl,others,,,undefined,,port7,,41282,61389,,206427924,,incoming,,01,192.168.100.3,1059028704,port7,undefined,,,sniffer,,,40299,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092043363555
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,,,,Modbus_Exception.Illegal.Function,Operational.Technology: Modbus_Exception.Illegal.Function,502,app-ctrl,others,,,undefined,,port7,,40034,61389,,206427925,,incoming,,,192.168.100.3,1059028704,port7,undefined,,,sniffer,,,40299,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092043382392
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,,,,Modbus_Exception.Illegal.Function,Operational.Technology: Modbus_Exception.Illegal.Function,502,app-ctrl,,,,undefined,,port7,,40034,61389,,206427926,,incoming,,,,1059028704,port7,undefined,,,sniffer,,,40299,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092043410813
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,4,,,Modbus_Read.Input.Registers,Operational.Technology: Modbus_Read.Input.Registers,502,app-ctrl,others,,,undefined,,port7,,25873,61391,,206427931,,outgoing,,00 01 00 00,192.168.100.2,1059028704,port7,undefined,,,sniffer,,,45237,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092044673370
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,6,,,Modbus_Func04.Read.Input.Validation,Operational.Technology: Modbus_Func04.Read.Input.Validation,502,app-ctrl,others,,,undefined,,port7,,48884,61391,,206427932,,outgoing,,"UnitID=3,Ref=1-0,Data=00 00",192.168.100.2,1059028704,port7,undefined,,,sniffer,"UnitID:3, Address:1, Address:0",,45237,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092044873371
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,,,,Modbus_Read.Input.Registers,Operational.Technology: Modbus_Read.Input.Registers,502,app-ctrl,,,,undefined,,port7,,25873,61391,,206427933,,outgoing,,,,1059028704,port7,undefined,,,sniffer,,,45237,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092044959994
