apprisk,type,tz,time,appcat,action,proto,dstserver,filesize,srcmac,sentpkt,app,msg,dstport,subtype,cloudaction,trandisp,sentdelta,srcintfrole,transip,srcintf,durationdelta,appid,sessionid,rcvdpkt,incidentserialno,srcserver,direction,masterdstmac,filename,clouduser,logid,dstintf,dstintfrole,rcvddelta,utmaction,policytype,mastersrcmac,srcport,transport,sentbyte,poluuid,vd,dstmac,duration,dstip,srcip,srccountry,dstcountry,rcvdpktdelta,rcvdbyte,level,sentpktdelta,policyid,devname,applist,service,countapp,devid,date,eventtype,eventtime
elevated,utm,-0700,21:24:45,Operational.Technology,pass,6,,8,,,S7.Protocol_Setup.Communication,Operational.Technology: S7.Protocol_Setup.Communication,102,app-ctrl,others,,,undefined,,port7,,42210,61417,,206428042,,outgoing,,Job=f0 00 00 01 00 01 03 c0,192.168.0.142,1059028704,port7,undefined,,,sniffer,,57034,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.0.64,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,tcp/102,,FGVM02TM24011031,2024-09-07,signature,1725769484562885928
elevated,utm,-0700,21:24:45,Operational.Technology,pass,6,,8,,,S7.Protocol_Setup.Communication,Operational.Technology: S7.Protocol_Setup.Communication,102,app-ctrl,others,,,undefined,,port7,,42210,61417,,206428043,,incoming,,Ack=f0 00 00 01 00 01 00 f0,192.168.0.64,1059028704,port7,undefined,,,sniffer,,57034,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.0.64,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,tcp/102,,FGVM02TM24011031,2024-09-07,signature,1725769484563429475
elevated,utm,-0700,21:24:45,Operational.Technology,pass,6,,14,,,S7.Protocol_Read.Variable,Operational.Technology: S7.Protocol_Read.Variable,102,app-ctrl,others,,,undefined,,port7,,42213,61417,,206428044,,outgoing,,Job=04 01 12 0a 10 02 00 06 00 00 81 00 00 00,192.168.0.142,1059028704,port7,undefined,,,sniffer,,57034,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.0.64,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,tcp/102,,FGVM02TM24011031,2024-09-07,signature,1725769484563983818
elevated,utm,-0700,21:24:45,Operational.Technology,pass,6,,,,,S7.Protocol_Read.Variable,Operational.Technology: S7.Protocol_Read.Variable,102,app-ctrl,,,,undefined,,port7,,42213,61417,,206428045,,outgoing,,,,1059028704,port7,undefined,,,sniffer,,57034,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.0.64,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,tcp/102,,FGVM02TM24011031,2024-09-07,signature,1725769484564272789
elevated,utm,-0700,21:24:45,Operational.Technology,pass,6,,12,,,S7.Protocol_Read.Variable,Operational.Technology: S7.Protocol_Read.Variable,102,app-ctrl,others,,,undefined,,port7,,42213,61417,,206428046,,incoming,,Ack=04 01 ff 04 00 30 00 00 00 00 00 00,192.168.0.64,1059028704,port7,undefined,,,sniffer,,57034,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.0.64,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,tcp/102,,FGVM02TM24011031,2024-09-07,signature,1725769484564671234
elevated,utm,-0700,21:24:45,Operational.Technology,pass,6,,14,,,S7.Protocol_Read.Variable,Operational.Technology: S7.Protocol_Read.Variable,102,app-ctrl,others,,,undefined,,port7,,42213,61417,,206428047,,outgoing,,Job=04 01 12 0a 10 02 00 06 00 00 81 00 00 00,192.168.0.142,1059028704,port7,undefined,,,sniffer,,57034,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.0.64,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,tcp/102,,FGVM02TM24011031,2024-09-07,signature,1725769484565153329
elevated,utm,-0700,21:24:45,Operational.Technology,pass,6,,,,,S7.Protocol_Read.Variable,Operational.Technology: S7.Protocol_Read.Variable,102,app-ctrl,,,,undefined,,port7,,42213,61417,,206428048,,outgoing,,,,1059028704,port7,undefined,,,sniffer,,57034,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.0.64,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,tcp/102,,FGVM02TM24011031,2024-09-07,signature,1725769484565396603
elevated,utm,-0700,21:24:45,Operational.Technology,pass,6,,12,,,S7.Protocol_Read.Variable,Operational.Technology: S7.Protocol_Read.Variable,102,app-ctrl,others,,,undefined,,port7,,42213,61417,,206428049,,incoming,,Ack=04 01 ff 04 00 30 00 00 00 00 00 00,192.168.0.64,1059028704,port7,undefined,,,sniffer,,57034,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.0.64,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,tcp/102,,FGVM02TM24011031,2024-09-07,signature,1725769484565766024
elevated,utm,-0700,21:24:45,Operational.Technology,pass,6,,14,,,S7.Protocol_Read.Variable,Operational.Technology: S7.Protocol_Read.Variable,102,app-ctrl,others,,,undefined,,port7,,42213,61417,,206428050,,outgoing,,Job=04 01 12 0a 10 02 00 06 00 00 81 00 00 00,192.168.0.142,1059028704,port7,undefined,,,sniffer,,57034,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.0.64,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,tcp/102,,FGVM02TM24011031,2024-09-07,signature,1725769484566233039
elevated,utm,-0700,21:24:45,Operational.Technology,pass,6,,,,,S7.Protocol_Read.Variable,Operational.Technology: S7.Protocol_Read.Variable,102,app-ctrl,,,,undefined,,port7,,42213,61417,,206428051,,outgoing,,,,1059028704,port7,undefined,,,sniffer,,57034,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.0.64,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,tcp/102,,FGVM02TM24011031,2024-09-07,signature,1725769484566520234
elevated,utm,-0700,21:24:45,Operational.Technology,pass,6,,12,,,S7.Protocol_Read.Variable,Operational.Technology: S7.Protocol_Read.Variable,102,app-ctrl,others,,,undefined,,port7,,42213,61417,,206428052,,incoming,,Ack=04 01 ff 04 00 30 00 00 00 00 00 00,192.168.0.64,1059028704,port7,undefined,,,sniffer,,57034,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.0.64,192.168.0.142,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,tcp/102,,FGVM02TM24011031,2024-09-07,signature,1725769484566904402
