apprisk,type,tz,time,appcat,action,proto,filesize,app,msg,dstport,subtype,cloudaction,srcintfrole,srcintf,appid,sessionid,incidentserialno,direction,filename,clouduser,logid,dstintf,dstintfrole,policytype,srcport,poluuid,clouddevice,vd,dstip,srcip,srccountry,dstcountry,level,policyid,devname,applist,service,devid,date,eventtype,eventtime
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,,DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,20000,app-ctrl,,undefined,port7,51812,61430,206428090,incoming,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926890822948
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,2,DNP3_Unsolicited.Message,Operational.Technology: DNP3_Unsolicited.Message,20000,app-ctrl,others,undefined,port7,31818,61430,206428091,incoming,90 00,1 -> 2,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926890942271
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,,DNP3_Unsolicited.Message,Operational.Technology: DNP3_Unsolicited.Message,20000,app-ctrl,,undefined,port7,31818,61430,206428092,incoming,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926891043601
low,utm,-0700,21:32:07,IoT,pass,6,,DNP.DNP3,IoT: DNP.DNP3,20000,app-ctrl,,undefined,port7,10003728,61430,206428093,incoming,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,"Vendor=DNP, Product=DNP3",root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926891170609
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,,DNP3_Data.Link.Layer.Function.Reset.Of.Remote.Link,Operational.Technology: DNP3_Data.Link.Layer.Function.Reset.Of.Remote.Link,20000,app-ctrl,,undefined,port7,51798,61430,206428094,outgoing,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926891814919
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,,DNP3_Data.Link.Layer.Function.ACK,Operational.Technology: DNP3_Data.Link.Layer.Function.ACK,20000,app-ctrl,,undefined,port7,51802,61430,206428095,incoming,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926891969289
low,utm,-0700,21:32:07,IoT,pass,6,,DNP.DNP3,IoT: DNP.DNP3,20000,app-ctrl,,undefined,port7,10003728,61430,206428096,incoming,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,"Vendor=DNP, Product=DNP3",root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926892078447
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,,DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data,20000,app-ctrl,,undefined,port7,51812,61430,206428097,outgoing,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926892425364
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,,DNP3_Confirm,Operational.Technology: DNP3_Confirm,20000,app-ctrl,others,undefined,port7,31756,61430,206428098,outgoing,Null,2 -> 1,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926892516863
elevated,utm,-0700,21:32:07,Operational.Technology,pass,6,,DNP3_Confirm,Operational.Technology: DNP3_Confirm,20000,app-ctrl,,undefined,port7,31756,61430,206428099,outgoing,,,1059028704,port7,undefined,sniffer,49950,2bb0f70e-4038-51ef-134a-c9f410b48b6f,,root,192.168.2.86,192.168.2.91,Reserved,Reserved,information,4,FGDIT,sniffer-profile,DNP3,FGVM02TM24011031,2024-09-07,signature,1725769926892592931
