flowInd	%dir	timeFirst	l4Proto	tcpFlags	srcIP	dstIP	srcPort	dstPort
1	A	1654448655.803861000	6	0x0002	192.168.100.2	192.168.100.3	37106	80
1	B	1654448655.804267000	6	0x0414	192.168.100.3	192.168.100.2	80	37106
2	A	1654448655.803901000	6	0x0002	192.168.100.2	192.168.100.3	59790	443
2	B	1654448655.804267000	6	0x0414	192.168.100.3	192.168.100.2	443	59790
3	A	1654448655.814022000	6	0x0416	192.168.100.2	192.168.100.3	49808	502
3	B	1654448655.814404000	6	0x0212	192.168.100.3	192.168.100.2	502	49808
4	A	1654448655.814712000	6	0x011b	192.168.100.2	192.168.100.3	49810	502
4	B	1654448655.815020000	6	0x031b	192.168.100.3	192.168.100.2	502	49810
5	A	1654448655.817859000	6	0x011b	192.168.100.2	192.168.100.3	49812	502
5	B	1654448655.818008000	6	0x031b	192.168.100.3	192.168.100.2	502	49812
