flowInd	%dir	timeFirst	l4Proto	tcpFlags	srcIP	dstIP	srcPort	dstPort
1	A	1650736633.335751000	6	0x011b	192.168.100.2	192.168.100.3	40299	502
1	B	1650736633.336677000	6	0x031b	192.168.100.3	192.168.100.2	502	40299
2	A	1650736634.556129000	6	0x011b	192.168.100.2	192.168.100.3	34561	502
2	B	1650736634.556569000	6	0x0313	192.168.100.3	192.168.100.2	502	34561
3	A	1650736637.769583000	6	0x011b	192.168.100.2	192.168.100.3	45237	502
3	B	1650736637.770539000	6	0x0313	192.168.100.3	192.168.100.2	502	45237
4	A	1650736640.981859000	6	0x011b	192.168.100.2	192.168.100.3	35075	502
4	B	1650736640.982843000	6	0x0313	192.168.100.3	192.168.100.2	502	35075
5	A	1650736644.194740000	6	0x011b	192.168.100.2	192.168.100.3	38039	502
5	B	1650736644.195659000	6	0x0313	192.168.100.3	192.168.100.2	502	38039
6	A	1650736647.406752000	6	0x011b	192.168.100.2	192.168.100.3	41853	502
6	B	1650736647.407735000	6	0x0313	192.168.100.3	192.168.100.2	502	41853
7	A	1650736650.616937000	6	0x011b	192.168.100.2	192.168.100.3	36237	502
7	B	1650736650.617798000	6	0x0313	192.168.100.3	192.168.100.2	502	36237
8	A	1650736653.828974000	6	0x011b	192.168.100.2	192.168.100.3	41165	502
8	B	1650736653.829670000	6	0x0313	192.168.100.3	192.168.100.2	502	41165
9	A	1650736657.041399000	6	0x011b	192.168.100.2	192.168.100.3	43713	502
9	B	1650736657.042426000	6	0x0313	192.168.100.3	192.168.100.2	502	43713
10	A	1650736660.249973000	6	0x011b	192.168.100.2	192.168.100.3	46767	502
10	B	1650736660.250887000	6	0x0313	192.168.100.3	192.168.100.2	502	46767
11	A	1650736663.459420000	6	0x011b	192.168.100.2	192.168.100.3	36305	502
11	B	1650736663.459928000	6	0x0313	192.168.100.3	192.168.100.2	502	36305
12	A	1650736666.667354000	6	0x011b	192.168.100.2	192.168.100.3	37409	502
12	B	1650736666.667928000	6	0x0313	192.168.100.3	192.168.100.2	502	37409
13	A	1650736669.875542000	6	0x011b	192.168.100.2	192.168.100.3	45881	502
13	B	1650736669.876093000	6	0x0313	192.168.100.3	192.168.100.2	502	45881
14	A	1650736673.083301000	6	0x011b	192.168.100.2	192.168.100.3	40715	502
14	B	1650736673.083815000	6	0x0313	192.168.100.3	192.168.100.2	502	40715
15	A	1650736676.290948000	6	0x011b	192.168.100.2	192.168.100.3	35845	502
15	B	1650736676.291403000	6	0x0313	192.168.100.3	192.168.100.2	502	35845
16	A	1650736679.499615000	6	0x011b	192.168.100.2	192.168.100.3	41185	502
16	B	1650736679.500033000	6	0x0313	192.168.100.3	192.168.100.2	502	41185
17	A	1650736682.707242000	6	0x011b	192.168.100.2	192.168.100.3	39265	502
17	B	1650736682.708077000	6	0x0313	192.168.100.3	192.168.100.2	502	39265
