flowInd	%dir	timeFirst	l4Proto	tcpFlags	srcIP	dstIP	srcPort	dstPort
1	A	1651515674.967272265	6	0x011b	192.168.0.142	192.168.0.64	36809	44818
1	B	1651515674.967464625	6	0x061e	192.168.0.64	192.168.0.142	44818	36809
8	A	1651515674.970265538	17	0x0000	192.168.232.1	192.168.0.142	137	137
9	A	1651515674.970271430	1	0x0000	192.168.0.142	192.168.232.1	0	0
6	A	1651515674.970110894	17	0x0000	192.168.174.1	192.168.0.142	137	137
7	A	1651515674.970116683	1	0x0000	192.168.0.142	192.168.174.1	0	0
4	A	1651515674.969994630	17	0x0000	192.168.1.190	192.168.0.142	137	137
5	A	1651515674.970001149	1	0x0000	192.168.0.142	192.168.1.190	0	0
2	A	1651515674.969869095	17	0x0000	192.168.56.1	192.168.0.142	137	137
3	A	1651515674.969896035	1	0x0000	192.168.0.142	192.168.56.1	0	0
