flowInd	%dir	timeFirst	l4Proto	tcpFlags	srcIP	dstIP	srcPort	dstPort
1	A	1651516167.770258000	6	0x011f	192.168.0.142	192.168.0.64	41249	44818
1	B	1651516167.770516000	6	0x021a	192.168.0.64	192.168.0.142	44818	41249
2	A	1651516167.772290000	17	0x0000	192.168.56.1	192.168.0.142	137	137
3	A	1651516167.772302000	1	0x0000	192.168.0.142	192.168.56.1	0	0
4	A	1651516167.772447000	17	0x0000	192.168.1.190	192.168.0.142	137	137
5	A	1651516167.772455000	1	0x0000	192.168.0.142	192.168.1.190	0	0
6	A	1651516167.772447000	17	0x0000	192.168.174.1	192.168.0.142	137	137
7	A	1651516167.772468000	1	0x0000	192.168.0.142	192.168.174.1	0	0
8	A	1651516167.772547000	17	0x0000	192.168.232.1	192.168.0.142	137	137
9	A	1651516167.772553000	1	0x0000	192.168.0.142	192.168.232.1	0	0
