flowInd	%dir	timeFirst	l4Proto	tcpFlags	srcIP	dstIP	srcPort	dstPort
1	A	1654448655.803861163	6	0x0002	192.168.100.2	192.168.100.3	37106	80
1	B	1654448655.804267073	6	0x0414	192.168.100.3	192.168.100.2	80	37106
2	A	1654448655.803901299	6	0x0002	192.168.100.2	192.168.100.3	59790	443
2	B	1654448655.804267127	6	0x0414	192.168.100.3	192.168.100.2	443	59790
3	A	1654448655.814022365	6	0x0416	192.168.100.2	192.168.100.3	49808	502
3	B	1654448655.814403975	6	0x0212	192.168.100.3	192.168.100.2	502	49808
4	A	1654448655.814711828	6	0x011b	192.168.100.2	192.168.100.3	49810	502
4	B	1654448655.815019776	6	0x031b	192.168.100.3	192.168.100.2	502	49810
5	A	1654448655.817858585	6	0x011b	192.168.100.2	192.168.100.3	49812	502
5	B	1654448655.818007757	6	0x031b	192.168.100.3	192.168.100.2	502	49812
