flowInd	%dir	timeFirst	l4Proto	tcpFlags	srcIP	dstIP	srcPort	dstPort
1	A	1650736633.335750722	6	0x011b	192.168.100.2	192.168.100.3	40299	502
1	B	1650736633.336676714	6	0x031b	192.168.100.3	192.168.100.2	502	40299
2	A	1650736634.556128687	6	0x011b	192.168.100.2	192.168.100.3	34561	502
2	B	1650736634.556568703	6	0x0313	192.168.100.3	192.168.100.2	502	34561
3	A	1650736637.769583428	6	0x011b	192.168.100.2	192.168.100.3	45237	502
3	B	1650736637.770538817	6	0x0313	192.168.100.3	192.168.100.2	502	45237
4	A	1650736640.981859297	6	0x011b	192.168.100.2	192.168.100.3	35075	502
4	B	1650736640.982843093	6	0x0313	192.168.100.3	192.168.100.2	502	35075
5	A	1650736644.194739780	6	0x011b	192.168.100.2	192.168.100.3	38039	502
5	B	1650736644.195658603	6	0x0313	192.168.100.3	192.168.100.2	502	38039
6	A	1650736647.406752023	6	0x011b	192.168.100.2	192.168.100.3	41853	502
6	B	1650736647.407735371	6	0x0313	192.168.100.3	192.168.100.2	502	41853
7	A	1650736650.616937207	6	0x011b	192.168.100.2	192.168.100.3	36237	502
7	B	1650736650.617797526	6	0x0313	192.168.100.3	192.168.100.2	502	36237
8	A	1650736653.828974050	6	0x011b	192.168.100.2	192.168.100.3	41165	502
8	B	1650736653.829670095	6	0x0313	192.168.100.3	192.168.100.2	502	41165
9	A	1650736657.041399426	6	0x011b	192.168.100.2	192.168.100.3	43713	502
9	B	1650736657.042425889	6	0x0313	192.168.100.3	192.168.100.2	502	43713
10	A	1650736660.249973279	6	0x011b	192.168.100.2	192.168.100.3	46767	502
10	B	1650736660.250887100	6	0x0313	192.168.100.3	192.168.100.2	502	46767
11	A	1650736663.459420447	6	0x011b	192.168.100.2	192.168.100.3	36305	502
11	B	1650736663.459927720	6	0x0313	192.168.100.3	192.168.100.2	502	36305
12	A	1650736666.667353515	6	0x011b	192.168.100.2	192.168.100.3	37409	502
12	B	1650736666.667928294	6	0x0313	192.168.100.3	192.168.100.2	502	37409
13	A	1650736669.875542054	6	0x011b	192.168.100.2	192.168.100.3	45881	502
13	B	1650736669.876092946	6	0x0313	192.168.100.3	192.168.100.2	502	45881
14	A	1650736673.083300652	6	0x011b	192.168.100.2	192.168.100.3	40715	502
14	B	1650736673.083815064	6	0x0313	192.168.100.3	192.168.100.2	502	40715
15	A	1650736676.290947530	6	0x011b	192.168.100.2	192.168.100.3	35845	502
15	B	1650736676.291403479	6	0x0313	192.168.100.3	192.168.100.2	502	35845
16	A	1650736679.499615071	6	0x011b	192.168.100.2	192.168.100.3	41185	502
16	B	1650736679.500033482	6	0x0313	192.168.100.3	192.168.100.2	502	41185
17	A	1650736682.707241619	6	0x011b	192.168.100.2	192.168.100.3	39265	502
17	B	1650736682.708077055	6	0x0313	192.168.100.3	192.168.100.2	502	39265
