flowInd	%dir	timeFirst	l4Proto	tcpFlags	srcIP	dstIP	srcPort	dstPort
5	A	1649257405.377792786	6	0x0416	192.168.0.142	192.168.0.64	57002	102
5	B	1649257405.517711123	6	0x0212	192.168.0.64	192.168.0.142	102	57002
2	A	1649257405.296119553	0	0x0000	-	-	0	0
3	A	1649257405.308350587	0	0x0000	-	-	0	0
3	B	1649257410.334381762	0	0x0000	-	-	0	0
4	A	1649257405.308356357	17	0x0000	192.168.0.142	192.168.0.1	40145	53
4	B	1649257405.347430646	17	0x0000	192.168.0.1	192.168.0.142	53	40145
8	A	1649257425.861079399	17	0x0000	192.168.0.154	192.168.0.255	57621	57621
7	A	1649257410.334371685	0	0x0000	-	-	0	0
6	A	1649257405.518398894	6	0x011b	192.168.0.142	192.168.0.64	57004	102
6	B	1649257405.518604788	6	0x031b	192.168.0.64	192.168.0.142	102	57004
1	A	1649257398.521801597	0	0x0000	-	-	0	0
