flowInd	%dir	timeFirst	l4Proto	tcpFlags	srcIP	dstIP	srcPort	dstPort
5	A	1654429307.380523000	17	0x0000	192.168.1.190	239.255.255.250	51654	1900
6	A	1654429307.381347000	17	0x0000	192.168.2.86	239.255.255.250	51657	1900
7	A	1654429320.836829000	17	0x0000	192.168.2.86	239.255.255.250	1900	1900
8	A	1654429320.837664000	17	0x0000	fe80::65a5:2299:e118:238	ff02::c	1900	1900
12	A	1654429342.673399000	17	0x0000	fe80::b4a4:bb39:477c:2fb	ff02::fb	5353	5353
11	A	1654429342.673398000	17	0x0000	192.168.2.91	224.0.0.251	5353	5353
9	A	1654429342.639198000	58	0x0000	fe80::b4a4:bb39:477c:2fb	ff02::16	0	0
10	A	1654429342.639198000	2	0x0000	192.168.2.91	224.0.0.22	0	0
4	A	1654429292.182578000	17	0x0000	192.168.1.190	192.168.1.255	137	137
1	A	1654429282.920449000	0	0x0000	-	-	0	0
3	A	1654429285.443855000	6	0x0018	192.168.2.91	192.168.2.86	51929	20000
3	B	1654429285.443981000	6	0x0018	192.168.2.86	192.168.2.91	20000	51929
2	A	1654429285.393242000	17	0x0000	192.168.2.86	192.168.2.255	137	137
