flowInd	%dir	timeFirst	l4Proto	tcpFlags	srcIP	dstIP	srcPort	dstPort
6	A	1649261815.204330000	6	0x011b	192.168.0.142	192.168.0.64	57330	102
6	B	1649261815.204589000	6	0x031b	192.168.0.64	192.168.0.142	102	57330
3	A	1649261804.692554000	6	0x0002	192.168.0.142	192.168.0.64	57328	102
7	A	1649261820.301558000	0	0x0000	-	-	0	0
7	B	1649261820.301771000	0	0x0000	-	-	0	0
5	A	1649261815.200699000	17	0x0000	192.168.0.64	239.255.255.250	58139	3702
4	A	1649261815.200270000	17	0x0000	fe80::903:4028:ec81:c06d	ff02::c	58140	3702
9	A	1649261824.876887000	0	0x0000	-	-	0	0
2	A	1649261804.511109000	17	0x0000	192.168.0.154	192.168.0.255	57621	57621
8	A	1649261822.333690000	6	0x011b	192.168.0.142	192.168.0.64	57332	102
8	B	1649261822.333965000	6	0x031b	192.168.0.64	192.168.0.142	102	57332
1	A	1649261799.192679000	0	0x0000	-	-	0	0
10	A	1649261857.922625000	6	0x0002	192.168.0.142	192.168.0.64	57334	102
