flowInd	%dir	timeFirst	l4Proto	tcpFlags	srcIP	dstIP	srcPort	dstPort
6	A	1651941580.133909000	17	0x0000	fe80::65a5:2299:e118:238	ff02::1:3	51091	5355
7	A	1651941580.133909000	17	0x0000	fe80::65a5:2299:e118:238	ff02::1:3	60028	5355
8	A	1651941580.134273000	17	0x0000	192.168.2.86	224.0.0.252	51091	5355
9	A	1651941580.134273000	17	0x0000	192.168.2.86	224.0.0.252	60028	5355
4	A	1651941579.702718000	17	0x0000	192.168.2.86	224.0.0.251	5353	5353
5	A	1651941579.703577000	17	0x0000	fe80::65a5:2299:e118:238	ff02::fb	5353	5353
1	A	1651941571.881121000	17	0x0000	192.168.2.86	192.168.2.255	137	137
2	A	1651941572.844525000	6	0x0018	192.168.2.91	192.168.2.86	50009	20000
2	B	1651941572.858173000	6	0x0018	192.168.2.86	192.168.2.91	20000	50009
3	A	1651941577.002576000	0	0x0000	-	-	0	0
