flowInd	%dir	timeFirst	l4Proto	tcpFlags	srcIP	dstIP	srcPort	dstPort
2	A	1649260613.014702018	6	0x0119	192.168.0.142	192.168.0.64	57084	102
2	B	1649260613.016778944	6	0x0119	192.168.0.64	192.168.0.142	102	57084
1	A	1649260611.723868162	6	0x0119	192.168.0.142	192.168.0.64	57086	102
1	B	1649260611.728868943	6	0x0119	192.168.0.64	192.168.0.142	102	57086
8	A	1649260651.369752418	6	0x011b	192.168.0.142	192.168.0.64	57088	102
8	B	1649260651.369989259	6	0x031b	192.168.0.64	192.168.0.142	102	57088
3	A	1649260614.797527250	0	0x0000	-	-	0	0
3	B	1649260614.807327691	0	0x0000	-	-	0	0
6	A	1649260639.705443661	0	0x0000	-	-	0	0
9	A	1649260676.363318559	17	0x0000	192.168.0.64	239.255.255.250	53240	1900
7	A	1649260642.839663748	0	0x0000	-	-	0	0
7	B	1649260642.839674197	0	0x0000	-	-	0	0
5	A	1649260633.322574419	17	0x0000	192.168.0.154	192.168.0.255	57621	57621
10	A	1649260701.468236331	6	0x0002	192.168.0.142	192.168.0.64	57090	102
11	A	1649260701.930461502	6	0x0002	192.168.0.142	192.168.0.64	57092	102
4	A	1649260615.278628594	0	0x0000	-	-	0	0
12	A	1649260711.971880531	6	0x0002	192.168.0.142	192.168.0.64	57094	102
13	A	1649260712.437323561	6	0x0002	192.168.0.142	192.168.0.64	57096	102
