flowInd	%dir	timeFirst	l4Proto	tcpFlags	srcIP	dstIP	srcPort	dstPort
3	A	1649260322.573032451	6	0x0111	192.168.0.142	192.168.0.64	57032	102
3	B	1649260322.573239854	6	0x0111	192.168.0.64	192.168.0.142	102	57032
9	A	1649260344.713270431	0	0x0000	-	-	0	0
9	B	1649260344.722050518	0	0x0000	-	-	0	0
10	A	1649260367.072246107	6	0x0018	192.168.0.142	52.84.65.89	47432	443
10	B	1649260367.096389905	6	0x0018	52.84.65.89	192.168.0.142	443	47432
8	A	1649260335.718067986	17	0x0000	192.168.0.154	192.168.0.255	57621	57621
11	A	1649260369.956306343	6	0x011b	192.168.0.142	192.168.0.64	57034	102
11	B	1649260369.956680952	6	0x031b	192.168.0.64	192.168.0.142	102	57034
7	A	1649260330.634636092	0	0x0000	-	-	0	0
7	B	1649260330.634822001	0	0x0000	-	-	0	0
4	A	1649260327.307302870	0	0x0000	-	-	0	0
2	A	1649260319.946101539	0	0x0000	-	-	0	0
5	A	1649260329.353022010	6	0x0010	192.168.0.142	52.84.65.13	34258	443
5	B	1649260329.374337554	6	0x0010	52.84.65.13	192.168.0.142	443	34258
6	A	1649260329.353044104	6	0x0010	192.168.0.142	52.84.65.13	34254	443
6	B	1649260329.374337509	6	0x0010	52.84.65.13	192.168.0.142	443	34254
12	A	1649260408.564446750	6	0x0002	192.168.0.142	192.168.0.64	57036	102
1	A	1649260319.629280724	6	0x0010	192.168.0.142	93.184.220.29	36834	80
1	B	1649260319.653351517	6	0x0010	93.184.220.29	192.168.0.142	80	36834
