flowInd	%dir	timeFirst	l4Proto	tcpFlags	srcIP	dstIP	srcPort	dstPort
1	A	1656782571.146651000	6	0x011b	192.168.2.87	192.168.2.91	42069	8088
1	B	1656782571.148160000	6	0x031b	192.168.2.91	192.168.2.87	8088	42069
2	A	1656782571.156127000	6	0x011b	192.168.2.87	192.168.2.91	36493	8088
2	B	1656782571.157500000	6	0x031b	192.168.2.91	192.168.2.87	8088	36493
3	A	1656782571.183204000	6	0x011b	192.168.2.87	192.168.2.91	35277	8088
3	B	1656782571.184414000	6	0x031b	192.168.2.91	192.168.2.87	8088	35277
4	A	1656782573.483989000	6	0x051f	192.168.2.91	192.168.2.87	60964	102
4	B	1656782573.484015000	6	0x031b	192.168.2.87	192.168.2.91	102	60964
5	A	1656782575.094905000	17	0x0000	192.168.2.86	192.168.2.255	137	137
6	A	1656782575.500494000	0	0x0000	-	-	0	0
